promotion_id,promotion_type,promotion_sk
605,Flash Sale,478
606,Buy One Get One Free,479
607,Buy One Get One Free,480
608,20% Off,481
609,20% Off,482
61,20% Off,483
610,Buy One Get One Free,484
611,20% Off,485
612,Flash Sale,486
613,Buy One Get One Free,487
614,20% Off,488
615,20% Off,489
616,20% Off,490
617,Flash Sale,491
618,Buy One Get One Free,492
619,Buy One Get One Free,493
62,20% Off,494
620,20% Off,495
622,Buy One Get One Free,496
623,Buy One Get One Free,497
624,Buy One Get One Free,498
625,Flash Sale,499
626,Unknown,500
627,Buy One Get One Free,501
628,Unknown,502
629,Flash Sale,503
63,Flash Sale,504
630,Flash Sale,505
631,Flash Sale,506
632,Buy One Get One Free,507
633,Buy One Get One Free,508
634,Flash Sale,509
635,Flash Sale,510
636,Buy One Get One Free,511
637,Unknown,512
638,Flash Sale,513
639,Flash Sale,514
64,20% Off,515
640,Unknown,516
641,20% Off,517
642,Flash Sale,518
643,Buy One Get One Free,519
644,20% Off,520
645,20% Off,521
646,Buy One Get One Free,522
647,Flash Sale,523
648,Buy One Get One Free,524
649,Buy One Get One Free,525
65,Buy One Get One Free,526
650,20% Off,527
651,20% Off,528
652,Buy One Get One Free,529
654,20% Off,530
656,Buy One Get One Free,531
659,Flash Sale,532
66,20% Off,533
660,Buy One Get One Free,534
661,Unknown,535
662,Buy One Get One Free,536
663,Flash Sale,537
664,Buy One Get One Free,538
665,Unknown,539
666,Flash Sale,540
667,Flash Sale,541
668,Buy One Get One Free,542
669,Buy One Get One Free,543
67,Buy One Get One Free,544
670,20% Off,545
671,Buy One Get One Free,546
673,20% Off,547
674,Flash Sale,548
675,Buy One Get One Free,549
676,Unknown,550
677,Buy One Get One Free,551
678,Buy One Get One Free,552
68,Buy One Get One Free,553
680,Flash Sale,554
681,20% Off,555
682,Buy One Get One Free,556
683,Flash Sale,557
684,Buy One Get One Free,558
685,Unknown,559
686,Flash Sale,560
687,Buy One Get One Free,561
688,20% Off,562
689,Flash Sale,563
69,Unknown,564
690,Buy One Get One Free,565
691,Unknown,566
692,Buy One Get One Free,567
693,20% Off,568
695,20% Off,569
696,Buy One Get One Free,570
697,Buy One Get One Free,571
698,Flash Sale,572
699,Buy One Get One Free,573
7,Buy One Get One Free,574
700,20% Off,575
701,Buy One Get One Free,576
702,Unknown,577
703,Unknown,578
704,Flash Sale,579
705,Buy One Get One Free,580
706,20% Off,581
707,20% Off,582
708,Flash Sale,583
709,Flash Sale,584
71,Flash Sale,585
710,20% Off,586
711,Buy One Get One Free,587
712,Unknown,588
713,Buy One Get One Free,589
714,Flash Sale,590
715,Flash Sale,591
716,Unknown,592
718,Flash Sale,593
719,Buy One Get One Free,594
72,Buy One Get One Free,595
722,Buy One Get One Free,596
723,Buy One Get One Free,597
725,20% Off,598
726,Flash Sale,599
727,Flash Sale,600
728,20% Off,601
729,20% Off,602
73,Unknown,603
730,20% Off,604
731,Flash Sale,605
732,Buy One Get One Free,606
733,20% Off,607
734,Unknown,608
735,20% Off,609
736,20% Off,610
737,Flash Sale,611
738,Flash Sale,612
739,Buy One Get One Free,613
74,Unknown,614
741,20% Off,615
742,20% Off,616
743,Unknown,617
745,Flash Sale,618
746,Buy One Get One Free,619
747,20% Off,620
748,Buy One Get One Free,621
75,Buy One Get One Free,622
750,20% Off,623
751,Unknown,624
752,Unknown,625
753,Buy One Get One Free,626
754,20% Off,627
756,Unknown,628
757,20% Off,629
758,Buy One Get One Free,630
759,Unknown,631
761,Flash Sale,632
762,Buy One Get One Free,633
763,Unknown,634
764,Buy One Get One Free,635
766,20% Off,636
767,Buy One Get One Free,637
768,Buy One Get One Free,638
769,Buy One Get One Free,639
77,Unknown,640
770,Unknown,641
771,Buy One Get One Free,642
772,Unknown,643
773,Flash Sale,644
774,20% Off,645
775,20% Off,646
776,20% Off,647
778,Flash Sale,648
779,Flash Sale,649
78,Flash Sale,650
780,20% Off,651
781,Buy One Get One Free,652
782,Flash Sale,653
783,Buy One Get One Free,654
784,Flash Sale,655
785,20% Off,656
786,20% Off,657
787,Unknown,658
788,20% Off,659
789,Flash Sale,660
79,Buy One Get One Free,661
790,20% Off,662
791,20% Off,663
792,Unknown,664
793,20% Off,665
795,Buy One Get One Free,666
796,Flash Sale,667
797,20% Off,668
798,Unknown,669
799,Flash Sale,670
8,20% Off,671
80,20% Off,672
800,Flash Sale,673
801,20% Off,674
802,Buy One Get One Free,675
803,Buy One Get One Free,676
805,Buy One Get One Free,677
806,20% Off,678
807,Unknown,679
808,Buy One Get One Free,680
809,Flash Sale,681
81,Buy One Get One Free,682
810,20% Off,683
811,Flash Sale,684
812,20% Off,685
814,Buy One Get One Free,686
815,20% Off,687
816,Buy One Get One Free,688
817,Flash Sale,689
818,Flash Sale,690
819,Flash Sale,691
82,20% Off,692
820,Buy One Get One Free,693
821,20% Off,694
822,Flash Sale,695
823,20% Off,696
824,Buy One Get One Free,697
825,Buy One Get One Free,698
826,Unknown,699
827,Unknown,700
828,Unknown,701
829,20% Off,702
83,20% Off,703
830,20% Off,704
831,Buy One Get One Free,705
832,Buy One Get One Free,706
833,Flash Sale,707
834,Buy One Get One Free,708
835,Buy One Get One Free,709
836,Flash Sale,710
837,Flash Sale,711
838,Flash Sale,712
839,20% Off,713
840,Flash Sale,714
841,Buy One Get One Free,715
842,Unknown,716
843,20% Off,717
844,Buy One Get One Free,718
845,Flash Sale,719
846,20% Off,720
848,20% Off,721
849,Unknown,722
85,20% Off,723
850,Flash Sale,724
851,Buy One Get One Free,725
852,Flash Sale,726
853,20% Off,727
856,Unknown,728
857,Unknown,729
858,20% Off,730
859,Buy One Get One Free,731
86,Buy One Get One Free,732
860,Buy One Get One Free,733
862,Flash Sale,734
863,Buy One Get One Free,735
864,Flash Sale,736
865,Unknown,737
866,20% Off,738
867,Buy One Get One Free,739
868,20% Off,740
869,20% Off,741
87,20% Off,742
871,Flash Sale,743
872,Buy One Get One Free,744
873,Flash Sale,745
874,Unknown,746
875,20% Off,747
876,20% Off,748
877,20% Off,749
878,20% Off,750
879,Flash Sale,751
88,Buy One Get One Free,752
881,Buy One Get One Free,753
884,Flash Sale,754
885,Flash Sale,755
886,Flash Sale,756
887,Flash Sale,757
888,20% Off,758
89,Unknown,759
890,Buy One Get One Free,760
891,20% Off,761
892,Flash Sale,762
893,Flash Sale,763
894,20% Off,764
895,Buy One Get One Free,765
896,20% Off,766
897,20% Off,767
898,20% Off,768
899,Buy One Get One Free,769
9,Flash Sale,770
90,20% Off,771
902,Buy One Get One Free,772
903,Buy One Get One Free,773
904,Buy One Get One Free,774
905,20% Off,775
906,Flash Sale,776
907,Flash Sale,777
908,Flash Sale,778
91,Flash Sale,779
910,Flash Sale,780
911,Buy One Get One Free,781
912,Unknown,782
913,Buy One Get One Free,783
914,Buy One Get One Free,784
915,20% Off,785
916,20% Off,786
917,Unknown,787
918,Unknown,788
919,20% Off,789
92,20% Off,790
920,Buy One Get One Free,791
921,20% Off,792
922,Flash Sale,793
923,20% Off,794
924,Flash Sale,795
926,20% Off,796
927,20% Off,797
928,20% Off,798
929,Flash Sale,799
93,Unknown,800
930,Flash Sale,801
933,Flash Sale,802
934,Buy One Get One Free,803
935,20% Off,804
936,Buy One Get One Free,805
937,20% Off,806
938,Buy One Get One Free,807
939,Flash Sale,808
94,20% Off,809
940,Unknown,810
941,Buy One Get One Free,811
942,20% Off,812
943,Buy One Get One Free,813
944,Unknown,814
945,Buy One Get One Free,815
946,Flash Sale,816
947,Flash Sale,817
949,Unknown,818
95,20% Off,819
951,Unknown,820
952,20% Off,821
953,Unknown,822
954,Buy One Get One Free,823
955,Buy One Get One Free,824
958,Flash Sale,825
959,20% Off,826
96,Flash Sale,827
960,20% Off,828
961,Buy One Get One Free,829
963,Flash Sale,830
964,Buy One Get One Free,831
965,20% Off,832
966,20% Off,833
967,Flash Sale,834
969,Buy One Get One Free,835
97,Unknown,836
971,Unknown,837
972,20% Off,838
973,Unknown,839
974,Buy One Get One Free,840
975,Unknown,841
976,20% Off,842
977,20% Off,843
978,Flash Sale,844
979,Buy One Get One Free,845
98,20% Off,846
980,Buy One Get One Free,847
981,Unknown,848
982,20% Off,849
983,Unknown,850
984,20% Off,851
985,Flash Sale,852
986,Flash Sale,853
988,20% Off,854
989,Flash Sale,855
99,Buy One Get One Free,856
991,Buy One Get One Free,857
992,Buy One Get One Free,858
993,Flash Sale,859
994,Buy One Get One Free,860
996,Flash Sale,861
997,Flash Sale,862
998,20% Off,863
999,Flash Sale,864
