sales_sk,transaction_id,customer_sk,product_sk,promotion_sk,date_sk,transaction_date,quantity,unit_price,discount_applied
718,7335783,2600,,810,20230307,2023-03-07,8,953.56,0.35
744,7600665,3040,,848,20221223,2022-12-23,4,109.78,0.25
749,7639370,2928,,350,20230217,2023-02-17,1,0,0.49
777,791474,2248,443,648,20200225,2020-02-25,5,198.41,0.04
811,826542,2480,143,638,20210825,2021-08-25,7,139.63,0.47
825,8368290,2271,,800,20220515,2022-05-15,3,829.05,0.42
843,8491108,3030,,164,20231110,2023-11-10,3,537.88,0.12
870,877098,2306,518,330,20200620,2020-06-20,2,304.64,0.44
894,89954,2535,462,120,20211002,2021-10-02,6,72.97,0.44
898,903423,2215,376,557,20211125,2021-11-25,1,134.72,0.37
914,918552,2567,401,624,20201105,2020-11-05,5,739.52,0.36
929,927692,2165,502,146,20211013,2021-10-13,4,192.98,0
946,9459028,2517,,495,20230113,2023-01-13,4,690.64,0
985,988300,2230,67,415,20200326,2020-03-26,7,634.59,0.19
992,9935424,2852,,592,20230708,2023-07-08,9,235.76,0.38
996,9973800,3082,,754,20220326,2022-03-26,2,434.36,0.27
1005,9980439,2391,,46,20221006,2022-10-06,4,572.75,0.05
1006,9980440,2616,466,158,20220701,2022-07-01,8,420.63,0.26
1030,9980464,2683,,438,20220226,2022-02-26,8,795.54,0.4
1031,9980465,2166,,675,20230718,2023-07-18,4,783.07,0.2
1033,9980467,2937,,60,20220116,2022-01-16,10,974.98,0.46
1060,9980494,2988,,670,20230930,2023-09-30,1,958.23,0
1065,9980499,2218,,587,20221018,2022-10-18,6,210.12,0.25
1072,9980506,2500,,749,20230629,2023-06-29,5,626.9,0.26
1093,9980527,2258,,855,20230321,2023-03-21,6,471.41,0.25
1108,9980542,2304,,410,,,5,595.67,0.49
1110,9980544,2411,,376,20220604,2022-06-04,1,707.83,0.48
1120,9980554,2751,,7,20221223,2022-12-23,9,484.72,0.04
1129,9980563,2729,,71,20221018,2022-10-18,10,460.08,0
1134,9980568,2942,,460,20221104,2022-11-04,3,842.6,0
1138,9980572,2381,,821,20230913,2023-09-13,10,830.86,0.37
1163,9980597,2323,,432,20220116,2022-01-16,6,949.71,0.03
1179,9980613,2708,,743,20230501,2023-05-01,7,902.77,0.06
1194,9980628,3021,,455,20230212,2023-02-12,4,818.61,0.06
1205,9980639,2658,,198,20220109,2022-01-09,6,484.88,0.18
1223,9980657,2929,,553,20230816,2023-08-16,9,120.42,0.07
1238,9980672,2962,,653,20220922,2022-09-22,7,0,0.09
1276,9980710,2527,,813,20220927,2022-09-27,1,937.12,0.29
1290,9980724,2618,,833,20230909,2023-09-09,7,879.94,0.2
1324,9980758,3127,,260,20220210,2022-02-10,6,404.28,0.18
1362,9980796,2680,,384,20230129,2023-01-29,5,509.91,0.09
1417,9980851,2741,182,75,20220417,2022-04-17,9,522.63,0.2
1426,9980860,2828,,518,20220727,2022-07-27,7,149.74,0.5
1437,9980871,2699,,430,20230709,2023-07-09,1,763.92,0.48
1440,9980874,2869,,121,20221016,2022-10-16,3,899.2,0.12
1457,9980891,2838,,223,20231216,2023-12-16,3,496.25,0.06
1462,9980896,3041,,106,20220305,2022-03-05,1,364.02,0.25
1467,9980901,2343,,804,20221125,2022-11-25,6,367.15,0.37
1494,9980928,2709,,251,20230902,2023-09-02,10,355.82,0.37
1544,9980978,2334,,580,20231226,2023-12-26,10,520.61,0.5
1547,9980981,2365,,607,20221009,2022-10-09,8,635.2,0.24
1551,9980985,2971,,621,20220313,2022-03-13,2,808.53,0.39
1559,9980993,3012,,192,20231031,2023-10-31,6,482.37,0.24
1586,9981020,2200,,837,20221026,2022-10-26,1,304.96,0.19
1587,9981021,2963,,336,20230116,2023-01-16,3,308.18,0.46
1622,9981056,3078,,290,20220626,2022-06-26,10,47.43,0.29
1632,9981066,2467,,457,20221219,2022-12-19,10,88.52,0.41
1636,9981070,2820,,742,20220327,2022-03-27,2,696.73,0.26
1637,9981071,2908,,642,20230206,2023-02-06,5,566.6,0.42
1641,9981075,3077,,256,20220127,2022-01-27,7,595.64,0.42
1643,9981077,2590,,636,20220408,2022-04-08,10,727.59,0.48
1650,9981084,2721,,346,20220220,2022-02-20,7,669.31,0.15
1660,9981094,2627,,576,20230302,2023-03-02,2,353.55,0.18
1686,9981120,2503,,85,20230810,2023-08-10,4,157.17,0.44
1698,9981132,2161,,620,20221011,2022-10-11,10,433.34,0.01
1711,9981145,2330,,292,20230601,2023-06-01,4,806.22,0.32
1730,9981164,3025,,334,20231101,2023-11-01,6,483.72,0.07
1747,9981181,2865,,828,20230701,2023-07-01,7,809.96,0.16
1749,9981183,3006,,154,20231114,2023-11-14,5,614.31,0.21
1768,9981202,3109,,480,20220425,2022-04-25,6,657.96,0
1774,9981208,2276,,285,20230401,2023-04-01,4,52.51,0.08
1791,9981225,2790,,19,20230312,2023-03-12,8,71.15,0
1848,9981282,2407,910,850,20231022,2023-10-22,10,924.81,0.23
1861,9981295,2281,,132,20230721,2023-07-21,8,322.24,0.09
1870,9981304,2656,,455,20220823,2022-08-23,4,497.79,0.16
1872,9981306,3080,,412,20230407,2023-04-07,8,86.91,0.12
1916,9981350,3041,,10,20220812,2022-08-12,7,431.88,0.16
1927,9981361,2543,,324,20230307,2023-03-07,5,416.16,0.42
1937,9981371,3066,,830,20230113,2023-01-13,2,813.56,0.19
1980,9981414,2584,,317,20220722,2022-07-22,8,45.09,0.35
1982,9981416,2436,,310,20230622,2023-06-22,8,212.32,0.18
1984,9981418,2527,,423,20230829,2023-08-29,10,910.99,0
1987,9981421,2787,,207,20220514,2022-05-14,6,0,0.09
3,1016759,2666,,328,20220929,2022-09-29,5,32.79,0.07
35,131341,2997,63,492,20210413,2021-04-13,2,859.96,0.04
43,14037,2287,779,828,20200228,2020-02-28,4,542.14,0.42
61,161693,2229,995,644,20200715,2020-07-15,3,477.76,0.14
63,1623923,2959,,245,20230201,2023-02-01,2,266.48,0.32
65,164202,2450,595,352,20210828,2021-08-28,9,678.08,0.23
71,17551,2446,528,375,20210122,2021-01-22,4,598,0.08
107,209714,2451,805,519,20200915,2020-09-15,5,348.41,0.36
110,2112410,2247,,234,20220418,2022-04-18,7,423.64,0.11
115,2143931,2565,,565,20230707,2023-07-07,9,38.88,0.48
119,21809,2577,81,663,20211104,2021-11-04,4,509.87,0.44
123,222999,2370,523,341,20200904,2020-09-04,8,739.4,0.44
152,2481434,2493,,218,20220803,2022-08-03,2,280.57,0.32
182,2751048,2723,,274,20231219,2023-12-19,6,542.91,0.36
194,2851389,2707,,168,20230420,2023-04-20,4,244.17,0.06
196,288114,2512,1006,614,20200831,2020-08-31,1,792.99,0.34
201,2903653,2780,,782,20221003,2022-10-03,3,731.2,0.07
212,301633,2853,438,142,20200827,2020-08-27,8,629.13,0.48
214,302109,2353,911,199,20210306,2021-03-06,1,446.15,0.48
215,302383,2484,24,639,20200428,2020-04-28,7,340.55,0.48
217,30566,2159,66,839,20210221,2021-02-21,4,725.8,0.27
234,3190563,2435,,129,,,5,23.35,0.33
251,333702,2908,127,678,20210612,2021-06-12,7,204.16,0.25
252,338878,2431,435,545,20200415,2020-04-15,9,129.03,0.23
266,3504799,2267,529,281,20230729,2023-07-29,3,963.39,0.43
272,355616,2328,15,792,20201008,2020-10-08,9,698.91,0.41
288,374609,2390,592,825,20201218,2020-12-18,2,655.09,0.2
306,3870062,2350,,186,20230324,2023-03-24,1,459.59,0.4
320,4036755,2292,,429,20220519,2022-05-19,5,196.99,0.42
335,413060,2522,938,831,20210821,2021-08-21,8,86.43,0.03
359,4354653,2221,,518,20230309,2023-03-09,4,628.88,0.27
397,470853,2452,450,847,20201005,2020-10-05,8,657.4,0.33
405,479531,2986,3,362,20210508,2021-05-08,2,839.22,0.46
419,4941755,3055,,533,,,8,289.37,0.32
432,5002714,2414,991,3,20230204,2023-02-04,8,987.33,0.35
458,5180492,2411,,46,20230205,2023-02-05,5,0,0.05
462,5228271,2560,17,554,20220425,2022-04-25,6,239.11,0.26
482,535835,2597,365,734,20210702,2021-07-02,4,785.29,0.17
509,560754,2554,276,685,20200610,2020-06-10,1,364.39,0.31
560,5958694,3107,,594,20221204,2022-12-04,8,15.63,0.34
572,606815,2493,934,808,20200226,2020-02-26,7,983.18,0.49
588,620508,2327,923,86,20200423,2020-04-23,6,212.08,0.44
610,6377814,3040,,523,20230314,2023-03-14,3,935.64,0.13
616,6414444,2847,,599,20231031,2023-10-31,3,703.33,0.29
637,6648275,2707,,532,20231111,2023-11-11,6,365.95,0.2
653,6803385,2569,,853,20220418,2022-04-18,1,774.18,0.17
654,6817661,2365,,268,20230716,2023-07-16,10,513.33,0.01
665,6954854,2869,,72,20220602,2022-06-02,4,616.48,0.37
668,6963486,3036,817,814,20230113,2023-01-13,7,645.7,0.09
689,7109820,2840,,349,20230616,2023-06-16,2,61.86,0.02
701,7221664,2614,851,73,20231108,2023-11-08,3,521.08,0.43
708,728457,2490,596,781,20200617,2020-06-17,2,994.61,0.48
720,733939,2218,660,37,20200802,2020-08-02,9,30.05,0.25
730,7491491,2562,,477,20220517,2022-05-17,5,676.61,0.07
760,771560,2462,1004,282,20200323,2020-03-23,8,583.63,0.13
765,7792743,2590,,295,20230106,2023-01-06,8,571.59,0.36
799,818380,2249,788,675,20210902,2021-09-02,3,5.19,0.37
800,820212,2472,866,815,20200917,2020-09-17,4,19.45,0.31
822,8345079,2837,,21,20220419,2022-04-19,2,327.09,0.2
831,8436103,2870,,616,20231109,2023-11-09,7,340.86,0.33
832,8445618,2468,,588,20220828,2022-08-28,2,644.62,0.48
844,8492062,2361,,728,20230919,2023-09-19,8,396.66,0.42
848,8517029,2617,,844,,,8,997.56,0.46
862,8649099,2249,,66,20220128,2022-01-28,8,825.1,0.44
891,897417,2180,578,593,20210402,2021-04-02,2,305.23,0.05
906,9099697,2452,,334,20221019,2022-10-19,9,685.12,0.14
911,914952,2387,249,303,20210817,2021-08-17,5,338.22,0.01
913,918300,2797,250,399,20200628,2020-06-28,1,714.73,0.2
931,930470,2379,446,785,20210920,2021-09-20,8,790.54,0.08
934,9320371,3046,,679,20220320,2022-03-20,8,484.56,0.4
987,9911025,2795,,537,20220213,2022-02-13,10,0,0.23
1052,9980486,2618,,441,20231001,2023-10-01,7,687.75,0.41
1062,9980496,2887,,344,20220929,2022-09-29,9,42.14,0.4
1075,9980509,2396,578,655,20230119,2023-01-19,5,861.33,0
1086,9980520,2800,,386,20230717,2023-07-17,9,928.63,0
1124,9980558,2867,,617,20220703,2022-07-03,10,193.33,0.45
1156,9980590,3050,,38,20221216,2022-12-16,3,694.56,0.07
1161,9980595,2476,,532,20231123,2023-11-23,7,516.88,0.31
1203,9980637,2726,,491,20230201,2023-02-01,10,911.57,0.33
1219,9980653,3040,,466,20230927,2023-09-27,2,429.59,0.01
1245,9980679,3077,,577,20220629,2022-06-29,2,0,0.22
1254,9980688,2783,,480,20230131,2023-01-31,7,863.88,0.26
1259,9980693,2650,,545,20230702,2023-07-02,3,174.88,0.16
1272,9980706,3031,,789,20230704,2023-07-04,8,763.57,0.48
1273,9980707,3047,,721,20220415,2022-04-15,8,271.1,0.25
1281,9980715,2442,,356,20220321,2022-03-21,6,222.66,0.36
1286,9980720,2279,,394,20220331,2022-03-31,7,852.93,0.04
1288,9980722,2733,,78,20230506,2023-05-06,7,191.56,0.15
1292,9980726,2495,,549,20230315,2023-03-15,10,308.76,0.41
1298,9980732,2254,,390,20230227,2023-02-27,6,174.97,0.36
1307,9980741,2782,,132,20221119,2022-11-19,2,691.99,0.43
1342,9980776,3117,,151,20220422,2022-04-22,3,27.51,0
1357,9980791,2647,,697,20231017,2023-10-17,7,678.29,0.1
1375,9980809,2208,8,170,,,8,653.79,0.3
1419,9980853,2904,,42,20231111,2023-11-11,10,403.83,0.17
1436,9980870,2616,,794,20231204,2023-12-04,4,781.38,0.08
1444,9980878,2747,,622,20230308,2023-03-08,7,994.38,0.47
1463,9980897,3041,,311,20221120,2022-11-20,8,858.4,0.33
1475,9980909,2585,,707,20231217,2023-12-17,10,245.45,0.49
1477,9980911,2950,,816,20231010,2023-10-10,2,341.13,0.2
1480,9980914,3060,,520,20221110,2022-11-10,3,677.17,0.24
1481,9980915,2467,,334,20230923,2023-09-23,5,202.75,0.38
1486,9980920,2342,,837,20220328,2022-03-28,1,410.99,0.37
1496,9980930,3080,,290,20221111,2022-11-11,8,897.51,0
1498,9980932,2311,865,769,,,10,442.22,0.25
1528,9980962,2504,8,141,20220307,2022-03-07,4,299.65,0.11
1530,9980964,2964,,832,20230510,2023-05-10,2,171.3,0.38
1567,9981001,2163,,689,20230305,2023-03-05,9,478.11,0.43
1581,9981015,2250,,13,20230520,2023-05-20,8,610.24,0.06
1582,9981016,3030,,165,20230521,2023-05-21,3,808.64,0.15
1596,9981030,2480,,696,20230906,2023-09-06,3,316.26,0.43
1605,9981039,2835,,333,20230402,2023-04-02,3,200.94,0.24
1613,9981047,2211,,423,20220512,2022-05-12,9,422.53,0.08
1619,9981053,2327,,310,20230320,2023-03-20,7,141.97,0.1
1679,9981113,2660,,440,20230203,2023-02-03,3,448.4,0.05
1684,9981118,2806,457,326,20220528,2022-05-28,7,896.83,0.36
1708,9981142,2723,402,323,20230530,2023-05-30,7,705.51,0.41
1734,9981168,2988,780,813,20220301,2022-03-01,2,18.34,0.19
1779,9981213,2792,,465,20220320,2022-03-20,5,901.1,0.44
1813,9981247,2329,,19,20231003,2023-10-03,1,228.79,0.2
1818,9981252,2696,,642,20230301,2023-03-01,10,71.36,0.35
1869,9981303,2735,,35,20230417,2023-04-17,9,276.07,0.21
1873,9981307,2366,,63,20220501,2022-05-01,1,37.66,0.09
1874,9981308,2372,,762,20221130,2022-11-30,10,10.18,0.15
1897,9981331,2845,387,115,20221119,2022-11-19,1,674.41,0.41
1908,9981342,3056,,647,20230903,2023-09-03,7,928.81,0.37
1956,9981390,2334,,652,20230505,2023-05-05,10,628.6,0.09
1958,9981392,2470,,434,20220619,2022-06-19,4,85.66,0.43
1968,9981402,3102,,551,20230510,2023-05-10,5,886.64,0.24
1971,9981405,3012,,453,20221120,2022-11-20,4,570,0.13
1975,9981409,2340,,401,20220602,2022-06-02,7,138.86,0.17
1989,9981423,2294,,859,20220908,2022-09-08,3,61.7,0.26
50,1449917,2243,,206,20231105,2023-11-05,1,358.07,0.44
69,1732099,2216,,83,20220527,2022-05-27,6,129.76,0.12
89,1890375,2616,,300,20221010,2022-10-10,8,787.23,0.21
111,2114145,3130,,320,20230220,2023-02-20,3,745.31,0.5
126,2261923,2460,,788,20230330,2023-03-30,9,257.38,0.46
160,253202,2368,668,763,20210609,2021-06-09,4,620.24,0.08
178,269456,2461,864,632,20200214,2020-02-14,4,637.81,0.41
190,279000,2378,385,312,20200308,2020-03-08,8,279.34,0.2
276,3603830,2780,,722,20230705,2023-07-05,9,459.19,0.43
279,3671760,3046,,706,20230907,2023-09-07,3,540.06,0.43
294,3789648,2724,,864,20220905,2022-09-05,5,763.94,0.19
299,3822736,2666,,187,20220518,2022-05-18,9,879.75,0.28
333,4107873,3078,,398,20221105,2022-11-05,9,782.34,0.25
337,4151019,2166,,435,20230514,2023-05-14,9,770.98,0.28
388,463311,2742,715,102,20210414,2021-04-14,7,656.4,0.34
389,463807,2262,848,842,20200201,2020-02-01,1,832.98,0.11
407,4816711,2610,,72,20220929,2022-09-29,8,588.01,0.45
416,49296,2191,440,724,20200404,2020-04-04,8,132.28,0.17
425,495047,2423,730,42,20201214,2020-12-14,2,86.94,0.4
430,4997910,2810,,59,20230222,2023-02-22,9,407.77,0.22
434,5018613,2699,,800,20220212,2022-02-12,2,613.84,0.04
435,501872,2250,723,648,20210502,2021-05-02,9,333.78,0.2
442,5072,2394,798,452,20211018,2021-10-18,6,600.71,0.25
445,509005,2263,849,537,20210201,2021-02-01,5,780.72,0.24
449,5107408,3114,,126,20230315,2023-03-15,4,701.04,0.3
456,5165249,3012,,637,20230101,2023-01-01,2,466.28,0.18
457,5168353,2712,,227,20220816,2022-08-16,3,74.21,0.35
459,518140,2162,658,629,20210908,2021-09-08,2,100.26,0.12
466,5251502,2902,,291,20230122,2023-01-22,9,908.39,0.47
469,526024,2497,395,480,20200709,2020-07-09,1,51.95,0.38
481,5357321,2598,,374,20221130,2022-11-30,1,383.62,0.38
502,5548401,2341,,528,20220928,2022-09-28,5,206.37,0.3
506,558959,2207,846,450,20200306,2020-03-06,6,349.41,0.18
557,5944245,2882,,56,20231127,2023-11-27,5,742.19,0.05
568,6003581,2353,724,274,,,6,655.59,0.35
602,630827,2555,738,15,20200609,2020-06-09,9,305.66,0.22
604,631876,2245,442,652,20211119,2021-11-19,1,275.12,0.27
618,6448375,2635,,693,20231219,2023-12-19,5,478.07,0.35
628,652672,2496,457,106,20210816,2021-08-16,7,867.71,0.05
677,7018671,2635,,504,,,6,809.01,0.34
696,7184524,3116,,658,20220422,2022-04-22,10,411.2,0.26
700,720448,2273,69,211,20210917,2021-09-17,8,393.25,0.26
729,7489346,2932,,830,20231030,2023-10-30,9,528.36,0.3
748,763646,2488,456,838,20200613,2020-06-13,9,122.86,0.18
773,788407,2531,913,158,20210919,2021-09-19,8,175.74,0.3
776,7913095,2263,,691,20230625,2023-06-25,5,864.73,0.24
809,826235,2931,371,271,20210604,2021-06-04,2,565.83,0.11
816,8315177,2444,,72,20230817,2023-08-17,1,596.98,0.3
835,846563,2528,599,693,20210214,2021-02-14,3,388.22,0.45
841,8483670,2314,,792,20221216,2022-12-16,6,539.41,0.15
864,8700924,2967,,746,20220508,2022-05-08,1,847.86,0.19
865,870865,2199,374,839,20210731,2021-07-31,7,833.18,0.28
886,893407,2579,208,274,20211002,2021-10-02,2,19.05,0.38
953,950119,2210,847,437,20200626,2020-06-26,5,208.19,0.44
980,9797535,2848,,716,20220616,2022-06-16,6,957.83,0.01
994,995300,2399,389,778,20210916,2021-09-16,9,366.8,0.08
1025,9980459,2235,,171,20230822,2023-08-22,7,128,0.2
1028,9980462,2830,,346,20231027,2023-10-27,2,74.7,0.44
1029,9980463,3124,,333,20220831,2022-08-31,5,192.22,0.32
1046,9980480,2277,,240,20220528,2022-05-28,10,301.17,0.41
1057,9980491,2584,,109,20230729,2023-07-29,2,222.1,0.01
1061,9980495,2771,245,174,20221109,2022-11-09,9,54.87,0.14
1076,9980510,2574,,186,20221108,2022-11-08,7,765.12,0.11
1080,9980514,2882,,283,20220614,2022-06-14,6,420.04,0.45
1085,9980519,2609,,466,20230915,2023-09-15,4,807.18,0
1102,9980536,3130,,39,20221020,2022-10-20,7,231.2,0.43
1109,9980543,2466,,467,20221221,2022-12-21,6,899.15,0.12
1121,9980555,2530,,51,20230421,2023-04-21,9,963.35,0.46
1122,9980556,2252,,120,20230721,2023-07-21,6,845.58,0.22
1136,9980570,2875,,41,20220106,2022-01-06,3,326.98,0.49
1148,9980582,3115,,670,20230224,2023-02-24,7,464.21,0.18
1168,9980602,2454,911,543,20231226,2023-12-26,3,897.4,0.27
1201,9980635,2767,,780,20230905,2023-09-05,8,702.27,0.38
1212,9980646,2499,26,272,20220812,2022-08-12,6,978.28,0.28
1214,9980648,2681,,712,20220129,2022-01-29,1,132.58,0.14
1268,9980702,2388,,45,20221209,2022-12-09,9,597.42,0.34
1289,9980723,2381,,652,,,2,651.21,0.15
1316,9980750,2451,1010,413,20220108,2022-01-08,1,260.7,0
1319,9980753,2517,,279,20220820,2022-08-20,9,780.08,0.16
1328,9980762,2663,,746,20220831,2022-08-31,3,74.57,0.36
1338,9980772,2986,,780,20220301,2022-03-01,5,981.65,0.18
1339,9980773,2583,532,391,20231106,2023-11-06,1,400.52,0.39
1350,9980784,2393,,704,20220908,2022-09-08,6,739.2,0.38
1371,9980805,3082,,739,20220405,2022-04-05,6,557.22,0.21
1377,9980811,2254,,847,20230504,2023-05-04,3,954.19,0.1
1383,9980817,2482,,340,20230410,2023-04-10,3,766.91,0.09
1398,9980832,2840,,19,20230721,2023-07-21,7,578.28,0.18
1401,9980835,2765,,712,20230218,2023-02-18,2,525.01,0.09
1406,9980840,2426,,173,20220610,2022-06-10,6,788.88,0.16
1412,9980846,2305,,429,20231202,2023-12-02,9,956.77,0
1434,9980868,2363,206,804,20220920,2022-09-20,1,554.45,0.13
1449,9980883,3076,,788,20221226,2022-12-26,9,916.53,0.2
1450,9980884,2708,,712,20220403,2022-04-03,2,199.36,0.18
1470,9980904,3104,,529,20230519,2023-05-19,4,885.24,0.29
1507,9980941,2965,,752,20230514,2023-05-14,4,0,0.16
1512,9980946,2561,,379,20231007,2023-10-07,4,818.58,0
1520,9980954,2439,,564,20221029,2022-10-29,9,393.57,0.29
1532,9980966,2308,,326,20230312,2023-03-12,10,126.28,0.46
1535,9980969,2432,,792,20231125,2023-11-25,7,729.16,0.08
1579,9981013,2423,,151,20220115,2022-01-15,2,466.15,0.13
1588,9981022,2413,,155,20230811,2023-08-11,9,579.42,0.21
1620,9981054,2877,,706,20221007,2022-10-07,6,243.95,0.39
1628,9981062,2184,,180,20220919,2022-09-19,3,275.76,0.07
1629,9981063,3129,,674,20221229,2022-12-29,8,628.93,0.44
1638,9981072,2251,,566,20220729,2022-07-29,5,743.92,0.11
1648,9981082,2667,,319,20221113,2022-11-13,9,409.99,0.45
1658,9981092,2802,,560,20230714,2023-07-14,6,0,0.34
1662,9981096,2231,,301,20220704,2022-07-04,3,328.76,0.3
1701,9981135,2462,,8,20231018,2023-10-18,9,581.18,0.48
1721,9981155,2213,,770,20221109,2022-11-09,3,895.09,0.14
1722,9981156,2167,,402,,,9,380.2,0.44
1746,9981180,2761,,625,20230619,2023-06-19,9,66.39,0.21
1750,9981184,2679,,348,20221026,2022-10-26,8,930.74,0.15
1758,9981192,2638,,355,20220407,2022-04-07,8,423.89,0.04
1772,9981206,2847,,310,20220410,2022-04-10,3,872.83,0.01
1775,9981209,2915,,220,20230517,2023-05-17,5,589.43,0.28
1776,9981210,3114,842,620,20230624,2023-06-24,8,957.17,0.33
1793,9981227,3067,,140,20230615,2023-06-15,8,381.76,0.38
1795,9981229,3008,,25,20220528,2022-05-28,9,0,0
1797,9981231,2853,,25,20221006,2022-10-06,4,835.87,0.16
1815,9981249,2210,,599,20230503,2023-05-03,1,710.21,0.16
1819,9981253,2103,,711,20220404,2022-04-04,9,283.07,0.07
1853,9981287,2621,,483,20231026,2023-10-26,4,470.31,0.21
1864,9981298,2291,,670,20220815,2022-08-15,8,36.86,0.37
1871,9981305,2159,,461,20231127,2023-11-27,10,538.96,0.23
1892,9981326,2471,,478,20230130,2023-01-30,1,856.78,0.41
1922,9981356,2508,,803,20221201,2022-12-01,4,422.88,0.01
1929,9981363,2273,,714,20220809,2022-08-09,10,652.01,0.03
1950,9981384,2672,,523,20230902,2023-09-02,4,255.08,0.23
1970,9981404,2716,,621,20220628,2022-06-28,9,553.74,0.35
1981,9981415,2575,,793,20220313,2022-03-13,8,302.91,0.15
1988,9981422,2891,,198,20230513,2023-05-13,5,543.54,0.23
1992,9981426,2874,,52,20220202,2022-02-02,4,988.51,0.21
8,1056798,3044,,351,20220430,2022-04-30,6,857.93,0.49
24,122202,2414,525,148,20201115,2020-11-15,1,957.87,0.4
27,1240656,2981,,605,20221029,2022-10-29,4,632.88,0.2
31,126422,2280,378,141,20210215,2021-02-15,1,16.61,0.13
55,1462408,2458,,171,20221130,2022-11-30,6,672.04,0.23
75,1760713,2349,,406,20221005,2022-10-05,8,410.06,0.47
82,1801136,2317,,160,20220710,2022-07-10,9,96.19,0.36
86,1845618,2253,,670,20220129,2022-01-29,4,340.57,0.12
98,196172,2403,860,74,20200919,2020-09-19,7,81.23,0.13
99,1970050,2650,,862,20221225,2022-12-25,5,449.43,0.47
109,2102277,2388,,334,20221019,2022-10-19,5,225.7,0.43
131,2326088,2674,,314,20221124,2022-11-24,9,463.99,0.02
134,2353061,3034,,480,20230101,2023-01-01,7,604.38,0.28
146,24443,2305,379,862,20200620,2020-06-20,3,814.03,0.34
168,2626145,2602,,19,20220822,2022-08-22,3,834.49,0.17
264,349434,2315,922,397,20210617,2021-06-17,2,36.23,0.32
313,39323,2338,520,510,20200503,2020-05-03,9,941.85,0.03
323,4041388,2482,,493,20220205,2022-02-05,4,579.46,0.13
347,420897,2408,593,432,20201024,2020-10-24,6,731.84,0.17
369,4475747,2322,,383,20230710,2023-07-10,8,667.1,0.14
385,46118,2366,590,77,20210601,2021-06-01,4,603.03,0.37
394,469474,2419,21,774,20201121,2020-11-21,3,418.14,0.45
399,4723122,2296,,487,20220330,2022-03-30,10,86.1,0.21
403,4774069,2221,,593,20221023,2022-10-23,10,693.21,0.03
