customer_id,age,gender,income_bracket,loyalty_program,membership_years,churned,marital_status,number_of_children,education_level
125,77,Other,Low,Yes,5,No,Married,2,High School
127,62,Male,Low,No,3,No,Divorced,3,High School
132,18,Female,Medium,No,8,Yes,Married,3,Master's
14,28,Male,Low,No,6,Yes,Single,3,Master's
143,34,Other,Low,Yes,0,Yes,Married,1,Master's
153,58,Other,High,No,2,No,Divorced,4,Bachelor's
154,45,Male,Medium,No,3,No,Single,1,High School
16,70,Male,Medium,No,9,Yes,Divorced,4,High School
253,79,Male,High,No,3,No,Divorced,2,High School
259,41,Female,Medium,No,8,Yes,Single,4,Master's
273,29,Other,Low,No,0,Yes,Single,2,PhD
289,40,Female,High,Yes,1,No,Single,2,Master's
301,23,Female,Medium,Yes,5,Yes,Single,4,Bachelor's
322,77,Other,Medium,No,6,No,Single,1,Master's
348,45,Male,Low,Yes,0,No,Single,0,Bachelor's
35,78,Other,Low,No,1,No,Single,3,Bachelor's
352,40,Male,Low,Yes,0,Yes,Divorced,3,PhD
353,48,Male,High,No,4,Yes,Divorced,3,Bachelor's
364,77,Male,Low,Yes,6,No,Single,3,PhD
379,36,Female,Low,No,7,Yes,Divorced,0,PhD
399,65,Male,Medium,Yes,8,Yes,Married,3,Bachelor's
401,42,Female,High,No,9,No,Single,0,High School
421,37,Other,Medium,Yes,0,Yes,Married,3,High School
450,64,Male,Low,No,9,Yes,Divorced,1,Bachelor's
451,50,Other,Low,No,0,Yes,Single,2,Master's
471,54,Female,Medium,No,7,No,Single,4,High School
488,35,Male,Medium,No,6,Yes,Single,1,Master's
52,72,Male,Medium,Yes,8,Yes,Married,1,Master's
525,60,Male,Medium,No,3,Yes,Single,0,Bachelor's
548,54,Male,Low,No,2,No,Single,1,Master's
55,20,Male,High,No,6,No,Single,1,Bachelor's
567,73,Female,High,No,8,Yes,Divorced,2,Bachelor's
62,35,Female,High,No,5,Yes,Divorced,3,PhD
634,21,Other,Low,No,5,Yes,Divorced,0,PhD
64,42,Male,Medium,Yes,2,Yes,Divorced,3,Bachelor's
646,25,Other,Medium,No,6,No,Divorced,1,PhD
678,42,Female,Low,Yes,0,No,Single,3,High School
684,71,Female,Medium,No,8,No,Divorced,4,Bachelor's
704,28,Female,High,Yes,6,Yes,Single,4,PhD
707,51,Female,High,Yes,5,No,Married,2,Master's
713,53,Other,High,Yes,10,No,Single,3,PhD
717,68,Other,High,No,1,Yes,Married,2,Master's
775,67,Female,Medium,No,1,Yes,Married,1,High School
776,66,Other,Low,No,2,Yes,Married,2,High School
777,37,Male,High,No,4,Yes,Married,0,High School
782,18,Female,Medium,No,7,No,Married,2,Bachelor's
809,49,Male,Medium,No,5,No,Married,1,Bachelor's
831,64,Male,Medium,Yes,6,Yes,Single,3,Master's
847,44,Female,High,Yes,9,Yes,Single,1,Master's
89,19,Female,High,Yes,8,Yes,Single,4,High School
904,49,Other,High,Yes,10,Yes,Married,2,PhD
928,44,Other,Medium,Yes,6,Yes,Divorced,0,Master's
944,50,Female,High,No,5,No,Married,3,Bachelor's
95,71,Female,High,Yes,2,Yes,Single,2,High School
969,61,Female,Medium,No,10,Yes,Single,1,Master's
973,57,Other,High,No,3,Yes,Single,0,Master's
985,55,Other,High,No,4,No,Divorced,2,Master's
1005,48,Male,Medium,Yes,2,No,Married,1,PhD
1010,76,Female,Medium,No,2,No,Single,2,PhD
1022,31,Male,Low,No,1,No,Single,2,Master's
1032,23,Other,Low,No,5,No,Single,2,PhD
1037,44,Other,Medium,No,8,Yes,Single,2,Master's
104,31,Other,High,No,2,Yes,Married,1,PhD
1047,47,Other,Low,Yes,2,Yes,Divorced,2,Master's
12,40,Female,High,No,2,No,Single,0,High School
160,50,Male,Low,Yes,5,No,Married,2,High School
163,40,Other,Low,Yes,9,No,Divorced,3,Master's
20,20,Male,Low,No,7,No,Single,3,PhD
200,21,Other,High,No,3,No,Married,3,High School
27,55,Other,Low,No,8,Yes,Married,3,High School
294,36,Female,Low,Yes,6,Yes,Divorced,0,PhD
3,46,Female,Low,No,5,No,Married,3,Bachelor's
388,41,Other,High,No,5,Yes,Divorced,3,Bachelor's
397,79,Male,High,No,7,Yes,Single,1,Bachelor's
428,65,Male,Medium,Yes,8,Yes,Divorced,4,PhD
473,46,Other,High,No,1,Yes,Divorced,2,High School
490,59,Male,Low,No,6,Yes,Married,4,High School
495,57,Male,High,Yes,4,No,Divorced,1,PhD
496,63,Female,Low,No,5,Yes,Divorced,0,High School
500,64,Female,Low,Yes,2,No,Married,2,PhD
521,53,Female,High,No,2,No,Married,2,PhD
60,26,Female,High,No,6,No,Divorced,2,PhD
615,55,Male,Medium,No,9,Yes,Divorced,2,Master's
620,56,Female,High,No,0,Yes,Married,0,PhD
630,64,Other,Low,No,2,No,Single,2,PhD
651,48,Female,Medium,No,1,Yes,Divorced,2,PhD
658,55,Female,High,No,0,No,Married,1,High School
666,75,Male,High,No,5,No,Single,2,PhD
68,75,Other,Medium,No,0,No,Married,0,Bachelor's
680,21,Male,High,No,1,No,Divorced,3,Master's
695,50,Female,Medium,No,3,No,Single,1,PhD
702,47,Other,High,Yes,7,No,Divorced,3,High School
720,52,Female,High,Yes,10,No,Divorced,0,Master's
763,69,Other,High,Yes,5,Yes,Single,3,PhD
773,18,Female,Low,Yes,2,Yes,Divorced,4,PhD
8,38,Other,Low,Yes,2,No,Married,1,Master's
819,21,Other,High,No,2,No,Single,3,High School
822,23,Other,Low,No,9,No,Married,0,Bachelor's
842,39,Male,Medium,No,8,No,Single,3,Bachelor's
845,75,Female,Low,No,8,No,Divorced,3,High School
868,26,Male,Medium,Yes,1,No,Married,2,High School
870,40,Female,Low,Yes,9,No,Single,0,PhD
872,73,Other,Low,Yes,8,No,Divorced,3,Bachelor's
911,47,Female,High,Yes,0,No,Single,2,High School
926,48,Female,Medium,Yes,3,Yes,Single,2,Bachelor's
927,49,Male,Low,Yes,2,Yes,Single,0,PhD
970,28,Male,High,Yes,0,Yes,Divorced,0,Bachelor's
976,32,Female,Medium,No,8,Yes,Single,1,High School
982,64,Other,Medium,Yes,2,No,Married,4,PhD
984,57,Other,Low,No,8,No,Divorced,1,Master's
988,20,Male,Low,No,1,No,Divorced,0,Bachelor's
10,75,Male,Medium,No,3,No,Married,2,High School
1000,30,Other,Low,No,7,Yes,Divorced,1,Master's
1014,49,Other,Low,Yes,1,No,Single,0,Bachelor's
1041,60,Other,Medium,No,6,Yes,Single,0,Master's
1044,58,Other,High,No,1,No,Divorced,4,PhD
108,25,Male,Low,Yes,8,No,Married,1,Bachelor's
113,79,Male,Low,No,8,No,Single,0,Bachelor's
115,38,Other,Medium,Yes,0,No,Married,1,Bachelor's
118,35,Male,Medium,Yes,0,Yes,Single,0,Master's
124,77,Male,Low,No,5,No,Married,2,Master's
129,46,Female,High,Yes,9,No,Married,2,Bachelor's
173,18,Female,Low,Yes,0,Yes,Married,0,High School
175,54,Female,High,Yes,8,No,Married,0,Bachelor's
187,32,Other,Medium,Yes,1,No,Married,2,High School
214,68,Other,Low,Yes,3,Yes,Single,4,High School
24,41,Male,Low,Yes,8,No,Single,0,High School
240,74,Female,Low,No,0,Yes,Single,1,PhD
241,44,Male,Medium,No,7,No,Married,3,Bachelor's
242,79,Other,High,No,9,No,Married,1,High School
257,59,Other,Medium,Yes,3,Yes,Married,1,Bachelor's
268,66,Other,Medium,Yes,3,Yes,Married,0,High School
30,38,Female,Low,Yes,5,No,Divorced,2,High School
305,72,Other,Medium,No,0,No,Married,1,PhD
306,28,Female,Low,No,8,Yes,Divorced,3,PhD
319,33,Other,Medium,Yes,9,No,Single,4,Master's
325,33,Male,Medium,Yes,5,Yes,Married,3,PhD
33,75,Other,High,No,9,Yes,Single,0,High School
336,37,Male,Low,No,7,Yes,Single,4,High School
350,42,Other,Low,No,7,Yes,Divorced,0,High School
366,19,Other,High,Yes,8,Yes,Married,4,Bachelor's
368,65,Other,Low,Yes,9,Yes,Divorced,2,High School
384,41,Female,Medium,No,8,No,Single,4,Master's
406,63,Other,High,Yes,2,No,Married,1,PhD
414,53,Female,High,Yes,2,No,Divorced,0,Master's
420,65,Male,Medium,Yes,5,No,Single,3,Master's
430,76,Male,Low,No,6,No,Single,0,Bachelor's
441,71,Other,Medium,Yes,8,Yes,Divorced,1,Bachelor's
444,44,Female,High,Yes,9,Yes,Single,4,High School
46,79,Female,High,Yes,3,No,Married,1,Master's
465,63,Female,High,No,4,Yes,Married,2,PhD
482,78,Male,Medium,Yes,5,Yes,Single,0,Bachelor's
491,48,Other,High,Yes,8,Yes,Single,0,Bachelor's
50,68,Male,Medium,Yes,0,No,Single,1,PhD
515,54,Male,High,No,9,No,Divorced,2,High School
527,74,Other,Low,Yes,7,No,Divorced,2,High School
551,35,Male,High,Yes,9,No,Married,1,Master's
557,46,Other,Medium,Yes,4,No,Married,4,High School
562,80,Male,Medium,No,0,No,Divorced,2,Bachelor's
584,22,Other,High,Yes,0,Yes,Single,4,PhD
6,25,Other,Medium,Yes,4,Yes,Divorced,0,Bachelor's
612,30,Other,Medium,Yes,6,No,Single,2,PhD
622,70,Female,Low,Yes,6,No,Divorced,1,High School
63,21,Male,High,Yes,2,No,Divorced,2,Bachelor's
639,64,Female,Low,No,6,No,Single,0,Bachelor's
667,50,Other,Medium,No,5,No,Single,0,Bachelor's
669,39,Female,Medium,No,5,Yes,Married,0,Bachelor's
696,63,Other,Medium,No,8,No,Divorced,1,PhD
708,38,Male,Low,No,7,No,Divorced,0,Bachelor's
728,63,Other,High,No,7,No,Divorced,0,Master's
75,64,Male,High,Yes,3,Yes,Divorced,3,Bachelor's
778,50,Male,Low,No,0,No,Single,3,High School
82,52,Other,Medium,Yes,4,No,Married,2,Master's
83,31,Female,High,Yes,1,Yes,Married,2,High School
844,38,Female,Low,Yes,6,Yes,Single,3,Bachelor's
854,55,Other,Low,Yes,5,Yes,Divorced,2,High School
9,56,Female,Low,No,0,No,Single,4,PhD
908,41,Other,Low,Yes,8,Yes,Divorced,3,PhD
91,23,Female,High,Yes,0,No,Single,3,PhD
920,26,Other,Medium,Yes,8,No,Married,4,Master's
934,51,Female,Low,Yes,2,Yes,Married,4,Bachelor's
938,28,Other,Low,No,3,No,Married,1,High School
94,21,Male,Medium,Yes,2,No,Single,4,Bachelor's
941,23,Female,Low,No,9,Yes,Single,3,Master's
946,28,Female,Medium,Yes,0,No,Married,4,Master's
986,68,Male,Medium,Yes,10,Yes,Divorced,0,Master's
999,74,Female,Medium,Yes,4,Yes,Divorced,2,High School
1033,20,Other,High,No,6,No,Divorced,0,Master's
130,32,Male,Low,No,5,No,Single,3,Master's
179,18,Male,Low,Yes,2,Yes,Single,3,Bachelor's
193,68,Other,High,No,2,No,Divorced,1,High School
212,24,Other,High,No,2,No,Divorced,3,PhD
225,45,Other,High,Yes,7,No,Divorced,0,High School
258,61,Female,High,Yes,2,Yes,Single,0,High School
267,69,Male,High,No,1,Yes,Single,2,Master's
283,76,Female,High,Yes,3,No,Married,0,High School
307,73,Female,Low,No,9,No,Single,0,PhD
34,39,Female,High,Yes,0,Yes,Divorced,0,Master's
346,18,Male,High,Yes,2,No,Divorced,3,Bachelor's
37,42,Male,Low,No,3,Yes,Married,3,High School
374,76,Male,Medium,Yes,9,Yes,Divorced,3,High School
385,71,Male,High,No,6,No,Divorced,4,PhD
410,52,Male,Medium,Yes,3,No,Divorced,1,Bachelor's
415,50,Female,High,No,7,Yes,Single,0,Master's
422,73,Female,Low,Yes,7,No,Married,4,PhD
433,72,Other,High,Yes,5,No,Married,4,Bachelor's
469,77,Male,High,No,6,No,Divorced,1,High School
472,41,Female,High,Yes,7,Yes,Single,3,Bachelor's
479,77,Female,High,No,2,No,Married,4,Master's
529,42,Male,High,No,7,Yes,Divorced,1,Bachelor's
536,47,Other,Low,No,10,Yes,Divorced,0,Bachelor's
542,57,Female,Low,No,4,Yes,Divorced,2,High School
563,69,Male,Low,No,8,No,Married,2,Master's
573,22,Male,High,Yes,9,Yes,Single,4,Bachelor's
583,74,Female,Low,Yes,2,Yes,Married,2,PhD
585,75,Male,Low,No,10,Yes,Single,2,PhD
595,77,Female,Medium,No,6,Yes,Divorced,2,PhD
603,27,Female,High,Yes,0,No,Divorced,1,Bachelor's
605,44,Female,Medium,No,7,Yes,Married,0,PhD
608,57,Other,High,Yes,8,Yes,Divorced,4,High School
609,34,Male,Medium,No,8,No,Married,2,PhD
613,41,Other,Low,No,10,Yes,Married,0,High School
638,63,Male,Medium,Yes,4,Yes,Married,1,Master's
65,77,Female,Low,No,1,No,Divorced,4,High School
652,48,Female,High,Yes,0,Yes,Divorced,4,PhD
674,35,Male,Medium,No,8,Yes,Married,1,High School
681,50,Other,Low,Yes,7,No,Divorced,4,PhD
685,69,Female,Low,No,0,No,Single,4,Bachelor's
692,54,Other,Medium,No,10,Yes,Divorced,1,High School
694,67,Other,Low,No,2,Yes,Single,1,Master's
718,60,Other,High,No,4,Yes,Divorced,2,High School
721,62,Female,Medium,Yes,9,Yes,Married,1,PhD
725,67,Female,Low,Yes,5,No,Single,1,Master's
735,20,Female,Low,Yes,6,No,Married,3,High School
752,19,Female,High,Yes,5,Yes,Divorced,3,Bachelor's
755,67,Male,High,No,2,Yes,Married,4,Master's
757,39,Female,High,Yes,6,No,Married,3,Master's
76,77,Male,Low,Yes,5,Yes,Divorced,1,Bachelor's
767,76,Other,High,No,8,No,Married,1,High School
769,33,Male,Medium,No,7,No,Divorced,1,PhD
783,55,Other,Low,Yes,9,No,Married,1,High School
787,73,Other,Medium,Yes,4,No,Divorced,4,High School
796,34,Other,Medium,Yes,2,No,Married,2,High School
867,59,Male,High,Yes,8,No,Single,0,PhD
880,31,Female,Medium,Yes,3,Yes,Married,0,PhD
906,69,Other,Low,Yes,7,Yes,Married,0,PhD
915,72,Male,Low,Yes,3,Yes,Single,3,Master's
942,79,Other,Low,Yes,9,No,Single,0,PhD
953,56,Female,High,Yes,8,Yes,Single,4,Master's
97,35,Other,Low,Yes,2,Yes,Divorced,0,PhD
977,18,Female,Low,Yes,9,No,Married,0,Bachelor's
1007,24,Female,Medium,Yes,5,Yes,Married,3,Master's
1031,24,Other,High,Yes,9,No,Divorced,0,Bachelor's
1036,71,Male,Low,No,8,Yes,Single,0,PhD
1040,50,Other,High,No,7,Yes,Single,3,PhD
1043,73,Male,High,No,3,Yes,Divorced,0,Bachelor's
1045,62,Female,Medium,No,3,No,Single,4,High School
123,42,Male,High,Yes,7,Yes,Single,1,High School
133,42,Male,Low,Yes,8,No,Single,1,PhD
138,61,Female,High,Yes,6,Yes,Divorced,1,PhD
142,68,Female,Medium,No,0,No,Divorced,4,PhD
165,41,Other,Medium,No,7,No,Single,2,Bachelor's
169,57,Male,Low,Yes,4,Yes,Single,3,Master's
188,32,Male,Low,Yes,6,Yes,Single,4,PhD
19,41,Other,Medium,No,9,Yes,Divorced,0,Bachelor's
2,69,Female,Medium,No,2,No,Married,2,PhD
215,39,Male,Medium,Yes,7,No,Single,2,PhD
22,70,Male,High,No,8,No,Divorced,0,Bachelor's
220,79,Female,Medium,No,8,No,Married,1,PhD
25,61,Female,Medium,No,9,Yes,Single,4,PhD
261,76,Male,Low,No,9,Yes,Married,0,High School
276,19,Female,Medium,Yes,2,Yes,Divorced,4,High School
278,66,Male,Low,No,5,No,Divorced,1,Master's
284,66,Other,Low,No,1,No,Divorced,0,Bachelor's
298,61,Other,Medium,No,0,No,Married,3,PhD
323,76,Other,High,No,6,No,Single,2,Bachelor's
331,53,Other,High,No,5,Yes,Single,2,PhD
335,36,Other,High,Yes,2,No,Single,2,High School
337,49,Female,High,No,4,No,Divorced,2,PhD
351,67,Male,High,Yes,3,Yes,Divorced,4,Master's
371,22,Male,High,Yes,6,Yes,Married,0,High School
373,49,Female,Medium,No,3,No,Single,0,High School
386,73,Male,Medium,No,9,No,Married,1,PhD
387,50,Female,High,Yes,2,Yes,Married,1,Bachelor's
405,35,Female,High,No,0,No,Married,4,Bachelor's
408,19,Other,Medium,No,8,Yes,Single,0,Master's
427,50,Male,High,No,0,Yes,Married,2,PhD
460,34,Male,High,Yes,6,Yes,Single,3,Master's
481,69,Female,High,No,0,No,Married,3,Master's
509,27,Male,Low,No,3,Yes,Divorced,1,Bachelor's
520,34,Other,Low,No,1,No,Married,0,PhD
523,45,Other,Medium,No,9,Yes,Divorced,2,Master's
544,44,Male,Medium,Yes,6,No,Divorced,0,High School
558,29,Other,Low,No,0,Yes,Divorced,3,High School
570,36,Female,Medium,Yes,5,No,Married,2,Bachelor's
572,65,Other,High,Yes,0,Yes,Divorced,1,PhD
577,26,Female,Medium,No,10,Yes,Married,3,High School
580,26,Male,High,No,10,Yes,Single,1,High School
592,45,Female,Medium,No,8,No,Single,0,PhD
614,58,Female,Medium,Yes,5,No,Married,2,Bachelor's
624,66,Male,High,No,4,No,Married,0,PhD
642,73,Female,Low,Yes,0,No,Married,1,PhD
679,67,Male,Medium,Yes,5,Yes,Single,3,Master's
705,72,Other,Low,Yes,9,Yes,Single,2,Bachelor's
722,45,Male,Medium,Yes,6,No,Divorced,3,PhD
747,48,Female,High,No,2,No,Divorced,3,Master's
748,39,Male,Medium,No,7,No,Divorced,2,High School
749,74,Other,High,Yes,9,No,Single,2,PhD
756,72,Other,Medium,No,3,Yes,Single,2,High School
762,40,Female,Medium,Yes,5,Yes,Divorced,1,High School
781,49,Male,High,No,8,No,Single,4,PhD
801,36,Female,Medium,No,6,No,Divorced,2,PhD
820,37,Female,Medium,Yes,4,No,Married,0,High School
878,53,Female,High,Yes,0,Yes,Married,2,Master's
881,56,Other,High,No,10,No,Single,4,PhD
885,75,Male,Low,No,5,No,Single,2,PhD
888,25,Other,Low,Yes,4,No,Divorced,0,Bachelor's
914,18,Other,Medium,Yes,10,Yes,Divorced,0,High School
918,71,Female,Low,No,1,Yes,Single,3,PhD
932,74,Female,Low,Yes,4,Yes,Divorced,4,Master's
954,53,Female,High,Yes,0,No,Married,0,High School
959,51,Female,High,Yes,5,Yes,Divorced,1,PhD
98,43,Other,Medium,No,4,No,Married,1,Bachelor's
990,18,Other,Medium,Yes,3,No,Divorced,1,Bachelor's
1001,43,Male,Medium,Yes,3,Yes,Married,4,High School
106,65,Female,High,Yes,7,No,Single,2,Bachelor's
119,64,Other,Medium,Yes,2,No,Married,2,High School
121,41,Other,High,No,0,No,Single,2,Bachelor's
126,77,Other,High,No,8,No,Married,0,Master's
147,50,Female,Medium,No,0,Yes,Married,2,Bachelor's
150,59,Male,Low,No,8,No,Divorced,2,High School
158,29,Female,Medium,No,6,Yes,Single,3,High School
164,79,Female,Low,Yes,5,No,Married,3,High School
17,53,Female,Medium,Yes,9,Yes,Divorced,1,Bachelor's
185,44,Male,High,Yes,0,Yes,Married,1,Bachelor's
186,26,Female,Medium,No,6,Yes,Single,4,Master's
223,23,Female,High,No,5,No,Married,2,Master's
269,79,Male,Medium,No,0,No,Married,2,High School
272,69,Female,Low,No,2,No,Divorced,4,Master's
277,20,Other,High,Yes,4,No,Divorced,1,High School
287,45,Female,Medium,Yes,6,No,Married,0,High School
299,43,Other,Medium,Yes,1,Yes,Single,2,PhD
309,34,Other,Medium,No,2,Yes,Single,1,Master's
314,51,Other,Medium,Yes,8,No,Single,2,High School
341,50,Other,Medium,Yes,9,Yes,Single,4,Bachelor's
343,56,Other,Medium,Yes,3,Yes,Single,0,PhD
381,33,Male,High,Yes,5,No,Divorced,3,Master's
389,69,Female,Medium,Yes,4,Yes,Divorced,3,PhD
4,32,Female,Low,No,0,No,Divorced,2,Master's
402,52,Other,Medium,Yes,5,Yes,Divorced,4,Master's
419,38,Female,High,No,8,Yes,Single,4,Bachelor's
423,25,Other,Medium,Yes,5,No,Single,4,Master's
425,20,Male,High,No,9,Yes,Married,1,Bachelor's
431,68,Other,Medium,Yes,8,No,Single,3,Bachelor's
436,47,Other,Medium,Yes,8,Yes,Divorced,3,High School
455,65,Male,Low,Yes,6,Yes,Married,4,Bachelor's
458,52,Female,Medium,Yes,1,Yes,Married,0,PhD
464,46,Male,High,Yes,7,No,Divorced,0,PhD
466,70,Other,Medium,No,1,Yes,Divorced,3,PhD
47,79,Male,Low,Yes,5,No,Married,0,PhD
476,70,Other,High,No,4,Yes,Divorced,1,Bachelor's
49,79,Other,Low,No,9,No,Married,0,PhD
513,49,Other,Low,No,3,Yes,Single,3,High School
524,41,Other,High,No,1,Yes,Single,2,Bachelor's
526,63,Other,Low,Yes,6,Yes,Divorced,2,Bachelor's
539,80,Female,Low,Yes,0,Yes,Married,3,Master's
549,64,Male,Low,No,9,No,Divorced,0,High School
571,51,Other,Medium,No,3,No,Divorced,1,PhD
587,18,Female,High,Yes,0,Yes,Single,3,High School
588,22,Male,Medium,No,6,Yes,Single,4,Master's
629,22,Female,Low,No,6,Yes,Single,2,High School
637,25,Male,High,No,7,Yes,Single,3,High School
641,53,Other,Medium,No,6,Yes,Married,0,High School
647,46,Female,Medium,No,2,No,Divorced,3,Bachelor's
653,26,Female,Low,Yes,1,Yes,Single,0,High School
67,67,Other,High,Yes,7,Yes,Married,2,PhD
670,21,Male,Medium,No,6,Yes,Married,3,High School
709,55,Other,Low,Yes,5,No,Married,4,Master's
711,68,Other,Medium,No,1,Yes,Divorced,1,Bachelor's
724,28,Male,High,No,0,No,Single,3,PhD
765,41,Male,Medium,No,5,No,Married,0,High School
788,75,Male,High,Yes,9,No,Divorced,4,Bachelor's
789,48,Female,High,No,10,Yes,Divorced,1,Master's
805,53,Female,Medium,Yes,5,No,Married,3,High School
808,29,Female,Low,Yes,3,No,Single,4,Master's
843,29,Other,High,No,6,No,Divorced,2,Bachelor's
856,42,Female,Medium,No,0,Yes,Single,3,Master's
895,75,Male,High,No,3,No,Divorced,1,High School
898,65,Male,Low,Yes,6,No,Single,2,Master's
901,68,Male,High,No,6,No,Single,0,High School
902,57,Female,High,Yes,4,No,Married,0,High School
948,45,Male,High,No,9,No,Married,1,Bachelor's
952,71,Other,Medium,Yes,3,Yes,Divorced,1,High School
962,18,Other,High,No,5,Yes,Single,3,Bachelor's
965,61,Female,Low,No,3,Yes,Married,2,Master's
966,79,Female,Low,No,10,No,Divorced,3,Master's
983,60,Male,Low,Yes,6,No,Married,3,Bachelor's
1008,43,Other,High,Yes,10,Yes,Divorced,1,Master's
1015,46,Male,Low,No,10,No,Divorced,1,PhD
1016,42,Other,Medium,Yes,1,Yes,Divorced,0,PhD
1017,43,Other,High,No,5,No,Single,1,PhD
1023,25,Male,High,No,6,Yes,Single,3,High School
1026,65,Other,High,Yes,10,Yes,Single,4,Bachelor's
1028,27,Other,Medium,No,8,Yes,Married,2,Master's
1034,18,Other,Medium,Yes,0,Yes,Married,4,Bachelor's
112,74,Female,Medium,No,8,Yes,Single,1,Bachelor's
13,28,Other,Medium,Yes,7,No,Single,2,Master's
134,24,Female,Low,Yes,7,Yes,Married,0,High School
151,56,Male,Medium,No,1,No,Married,3,Bachelor's
170,39,Other,Low,No,6,No,Married,2,High School
174,52,Female,High,No,0,No,Single,4,High School
221,74,Other,Low,No,8,Yes,Divorced,0,Bachelor's
23,19,Other,Low,No,1,No,Divorced,1,High School
233,72,Male,Medium,Yes,5,Yes,Divorced,0,Master's
234,45,Male,Medium,No,3,No,Married,1,Bachelor's
252,26,Male,Low,Yes,7,No,Single,3,High School
256,68,Other,Low,Yes,2,Yes,Divorced,3,Bachelor's
282,34,Female,High,Yes,8,No,Single,4,PhD
286,19,Female,Low,Yes,8,Yes,Married,0,Master's
297,70,Female,Medium,No,5,Yes,Married,2,Master's
320,50,Other,Medium,No,0,No,Single,0,PhD
329,77,Other,High,Yes,5,Yes,Divorced,4,High School
358,77,Female,High,Yes,3,No,Divorced,2,Bachelor's
393,53,Male,High,Yes,1,Yes,Single,0,PhD
407,35,Male,Medium,Yes,1,No,Single,1,Bachelor's
42,45,Male,High,Yes,4,Yes,Married,2,Master's
424,24,Male,High,No,5,No,Divorced,3,High School
426,34,Female,Medium,Yes,5,Yes,Single,4,Master's
445,51,Other,Low,No,8,Yes,Married,1,Master's
