product_id,product_name,product_brand,product_category,product_rating,product_review_count,product_stock,product_return_rate,product_size,product_weight
9943,Product A,Brand Y,Clothing,1.9,693,92,0.12,Medium,7.65
5859,Product B,Brand Z,Furniture,1.7,837,40,0.28,Large,8.61
2875,Product A,Brand Z,Furniture,2.4,288,98,0.43,Large,2.47
9579,Product C,Brand X,Groceries,1.6,187,29,0.45,Medium,0.35
10047,Product A,Brand X,Groceries,4.7,208,84,0.09,Large,5.15
5266,Product B,Brand Y,Toys,3.1,705,79,0.03,Large,2.22
597,Product B,Brand X,Groceries,4,553,80,0.47,Medium,1.12
9973,Product A,Brand X,Toys,2.2,639,15,0.01,Large,5.3
9993,Product C,Brand Z,Furniture,2.8,82,43,0.49,Medium,4.65
6928,Product D,Brand X,Furniture,3.9,562,36,0.02,Small,5.95
2436,Product A,Brand X,Electronics,3.9,16,60,0.19,Large,4.95
2839,Product A,Brand Z,Toys,1.4,187,89,0.21,Large,9.33
9987,Product E,Brand Y,Toys,3.9,666,27,0.07,Medium,1.18
9992,Product D,Brand X,Toys,3.4,874,96,0.04,Small,7.68
8947,Product B,Brand Y,Groceries,3.4,751,32,0.08,Large,0.35
6597,Product C,Brand Y,Furniture,2.1,84,60,0.03,Medium,3.93
10077,Product C,Brand X,Electronics,1.2,965,10,0.45,Large,0.55
10216,Product C,Brand Y,Toys,4.8,477,91,0.03,Medium,0.58
10274,Product B,Brand Z,Groceries,1.9,840,51,0.31,Medium,4.38
5150,Product C,Brand Z,Clothing,2.3,969,25,0.09,Small,7.27
9553,Product B,Brand X,Toys,2.2,404,42,0.49,Large,6.2
10100,Product C,Brand Z,Clothing,4.2,27,88,0.42,Medium,0.36
9949,Product E,Brand Z,Furniture,3.2,849,83,0.45,Small,2.11
10309,Product D,Brand Z,Toys,2.4,681,4,0.32,Medium,7.51
5285,Product A,Brand Y,Clothing,2.1,714,1,0.2,Large,4.61
3914,Product A,Brand X,Clothing,4.2,185,15,0.16,Large,3.86
10205,Product E,Brand Z,Toys,1.9,939,48,0.36,Small,1.84
8968,Product B,Brand X,Furniture,3.3,796,12,0.01,Large,9.17
9931,Product A,Brand Y,Toys,1.4,213,1,0.49,Large,2.97
10074,Product B,Brand X,Electronics,4.2,715,98,0.03,Small,6.2
10261,Product A,Brand X,Electronics,2,187,62,0.1,Small,1.05
10381,Product C,Brand Y,Groceries,2,935,88,0.14,Medium,4.11
8757,Product B,Brand Y,Groceries,1.7,474,6,0.19,Small,7.88
7908,Product B,Brand X,Clothing,2.2,546,23,0.02,Large,3.09
1168,Product B,Brand Z,Electronics,2.4,717,15,0.37,Medium,6.69
9883,Product D,Brand Y,Clothing,3.2,357,55,0.31,Large,5.97
9941,Product E,Brand X,Toys,4.9,549,100,0.09,Small,2.31
10004,Product A,Brand X,Toys,1.7,345,57,0.47,Large,7.77
10359,Product C,Brand Z,Clothing,1.5,724,0,0.47,Large,4.41
1966,Product A,Brand X,Groceries,1.6,587,26,0.32,Medium,5.75
10149,Product E,Brand Y,Groceries,4.4,513,3,0.43,Medium,6.79
10390,Product C,Brand X,Electronics,4.6,847,100,0.2,Medium,8.9
3946,Product C,Brand Y,Furniture,1.8,256,63,0.05,Small,8.28
6797,Product C,Brand Y,Clothing,2.4,573,4,0.42,Medium,3.77
3251,Product B,Brand X,Groceries,2.8,689,55,0.26,Large,1.09
10213,Product D,Brand Z,Electronics,3.4,326,89,0.39,Large,2.2
10325,Product C,Brand Z,Electronics,3.9,748,44,0.45,Large,8.31
9946,Product D,Brand Y,Furniture,2.6,360,67,0.13,Medium,0.96
8171,Product A,Brand Y,Groceries,2.5,857,14,0.17,Medium,0.43
1827,Product D,Brand Z,Groceries,4.8,38,12,0.33,Large,7.46
1914,Product A,Brand Z,Clothing,2.4,60,11,0.01,Large,0.27
9901,Product E,Brand X,Toys,2.2,238,77,0.1,Large,5.17
10024,Product B,Brand Y,Furniture,3,484,15,0.41,Large,9.77
10130,Product B,Brand Y,Toys,2.2,889,65,0.3,Large,6.72
10242,Product A,Brand X,Toys,2.7,605,85,0.4,Small,2.26
7193,Product B,Brand Z,Groceries,4.4,392,45,0.28,Medium,6.52
7061,Product D,Brand Z,Furniture,4.4,679,83,0.18,Large,6.02
10328,Product E,Brand X,Toys,1.6,926,75,0.43,Medium,9.7
10339,Product A,Brand Y,Groceries,1,628,7,0.41,Medium,3.56
10370,Product E,Brand Z,Toys,1.9,249,19,0.43,Medium,2.19
1480,Product D,Brand Y,Electronics,2.8,560,98,0.4,Small,4.61
3653,Product D,Brand Y,Furniture,4.9,750,10,0.33,Large,3.29
3958,Product B,Brand X,Electronics,1.8,728,26,0.47,Medium,0.36
6083,Product D,Brand Z,Toys,1.3,350,7,0.46,Large,5.08
9886,Product A,Brand Z,Electronics,2,166,97,0.47,Medium,6
9985,Product E,Brand Z,Toys,2,146,58,0.04,Medium,3.63
10111,Product D,Brand Y,Toys,4.6,242,20,0.3,Small,3.63
10088,Product C,Brand Y,Toys,4.1,511,87,0.35,Large,9.61
10378,Product A,Brand Z,Groceries,3.1,252,71,0.28,Large,2.7
7339,Product A,Brand Z,Groceries,2.8,981,49,0.18,Large,0.88
9284,Product A,Brand Y,Electronics,3.7,738,27,0.46,Medium,3.53
7931,Product C,Brand Z,Furniture,1.3,697,33,0.2,Small,2.23
4311,Product D,Brand Y,Furniture,4,309,74,0.12,Small,6.26
1055,Product D,Brand X,Groceries,2.2,547,82,0.25,Medium,9.53
2501,Product A,Brand X,Groceries,2.1,340,10,0.33,Medium,7.32
10334,Product B,Brand Y,Furniture,4.5,108,0,0.17,Large,8.4
10338,Product C,Brand Z,Toys,4,6,27,0.07,Small,3.71
322,Product B,Brand X,Clothing,5,711,60,0.49,Large,4.63
5245,Product A,Brand Z,Clothing,2.1,476,7,0.02,Small,5.93
488,Product C,Brand Z,Toys,3.4,959,20,0.28,Medium,3.48
10385,Product A,Brand X,Toys,3.3,730,85,0.46,Medium,2.22
10002,Product C,Brand Y,Toys,1.2,316,76,0.36,Small,6.81
10093,Product A,Brand X,Clothing,2.6,270,86,0.05,Medium,0.78
10347,Product E,Brand X,Toys,3.1,65,19,0.46,Medium,5
1082,Product B,Brand Z,Clothing,1.8,685,47,0.35,Medium,1.33
9948,Product E,Brand X,Furniture,3,197,97,0.29,Small,8.59
10107,Product C,Brand Y,Clothing,2.1,73,64,0.21,Small,2.17
10286,Product C,Brand Z,Groceries,2.6,567,1,0.25,Medium,2.81
2012,Product C,Brand Y,Furniture,1.9,78,90,0.38,Large,8.13
6556,Product A,Brand Y,Clothing,1.4,660,14,0.07,Medium,2.85
10121,Product A,Brand Y,Groceries,5,195,85,0.16,Large,2.38
10124,Product E,Brand Z,Furniture,3.3,274,58,0.28,Small,6.72
4103,Product C,Brand Y,Electronics,3,596,90,0.45,Large,7.44
5095,Product C,Brand X,Toys,2.1,447,88,0.02,Small,8.09
10007,Product D,Brand X,Toys,2.3,909,63,0.31,Large,1.74
10133,Product D,Brand Z,Furniture,2.3,757,44,0.06,Medium,0.7
10315,Product B,Brand Y,Furniture,4.9,866,9,0.2,Small,3.34
4552,Product B,Brand X,Groceries,1.6,277,68,0.46,Large,8.55
7468,Product C,Brand X,Furniture,2.5,283,87,0.24,Small,1.96
6486,Product A,Brand X,Toys,3,202,27,0.17,Small,0.69
7850,Product B,Brand Y,Toys,3.3,574,9,0.22,Large,4.77
8464,Product A,Brand X,Clothing,4.5,267,33,0.05,Medium,9.29
7361,Product D,Brand Z,Furniture,4.7,724,41,0.47,Large,9.43
9989,Product D,Brand Z,Clothing,1.6,227,46,0.18,Small,3.02
10332,Product C,Brand Y,Electronics,1.7,568,43,0.1,Medium,7.13
10405,Product C,Brand Z,Toys,2.6,1,46,0.27,Small,0.78
10270,Product A,Brand Y,Furniture,2.7,455,9,0.02,Medium,8.02
10412,Product B,Brand Y,Groceries,4.4,587,0,0.46,Large,8.74
8582,Product A,Brand Z,Furniture,1.7,338,5,0.19,Small,4.07
4242,Product D,Brand Y,Toys,4.8,962,94,0.07,Large,9.95
9996,Product A,Brand Z,Groceries,3,775,54,0.48,Large,5.49
10067,Product A,Brand Z,Furniture,1.4,801,68,0.31,Small,3.8
10114,Product D,Brand Z,Furniture,2.6,750,34,0.25,Small,4.98
10204,Product B,Brand Z,Clothing,1.4,597,87,0.06,Large,8.38
10391,Product E,Brand Y,Toys,1.9,836,41,0.49,Large,1.54
10416,Product E,Brand Z,Electronics,1.8,2,11,0.27,Medium,8.67
7779,Product B,Brand X,Electronics,1.7,961,30,0.38,Small,3.02
6844,Product D,Brand Y,Groceries,3,660,60,0.16,Small,6.01
9918,Product B,Brand Y,Clothing,1.5,595,30,0.3,Large,1.61
10193,Product D,Brand Z,Electronics,2.9,837,79,0.07,Medium,9.99
10200,Product E,Brand X,Furniture,1.8,51,71,0.21,Medium,2.75
10218,Product E,Brand Z,Groceries,4.7,186,30,0.35,Large,0.81
10410,Product A,Brand Y,Furniture,3.4,832,99,0.22,Medium,4.05
9874,Product C,Brand X,Groceries,1.1,559,85,0.46,Medium,9.5
10342,Product A,Brand Y,Furniture,1.4,594,58,0.28,Small,6.44
10402,Product C,Brand Y,Groceries,1.7,711,21,0.18,Large,6.7
2216,Product C,Brand Y,Electronics,1.3,293,79,0.33,Large,3.37
10070,Product D,Brand Z,Furniture,3.7,119,52,0.26,Small,2.13
10191,Product D,Brand X,Toys,2,878,43,0.13,Small,5.85
10217,Product D,Brand Z,Clothing,2.7,818,32,0.38,Medium,4.74
5806,Product C,Brand Y,Groceries,3.7,610,61,0.44,Large,9.23
4718,Product D,Brand Z,Toys,1.5,929,75,0.43,Large,0.31
3172,Product A,Brand Y,Groceries,1.7,721,84,0.15,Small,7.13
10014,Product A,Brand X,Clothing,1.5,600,95,0.03,Small,3.46
10103,Product E,Brand Y,Electronics,2.9,46,48,0.31,Medium,8.76
10181,Product E,Brand Y,Electronics,3.9,240,97,0.2,Large,1.42
10209,Product B,Brand X,Clothing,3.8,804,19,0.22,Large,1.27
10420,Product C,Brand X,Furniture,1.7,727,88,0.3,Small,5.48
10422,Product B,Brand X,Groceries,4.2,69,86,0.07,Small,3.76
2735,Product A,Brand X,Clothing,3.8,650,88,0.42,Medium,4.71
1121,Product D,Brand Y,Electronics,2.9,365,49,0.11,Large,5.28
9731,Product D,Brand Y,Clothing,4.4,717,31,0.42,Medium,3.76
9961,Product C,Brand X,Clothing,2.6,129,10,0.19,Small,6.75
10006,Product A,Brand X,Furniture,4,121,43,0.32,Small,1.13
10175,Product C,Brand Y,Toys,3.4,245,96,0.15,Large,0.77
10264,Product A,Brand Z,Toys,3.1,460,92,0.25,Medium,3.11
10275,Product E,Brand Z,Electronics,1.7,27,9,0.25,Medium,3.69
3308,Product D,Brand X,Furniture,2.7,453,60,0.27,Large,3.43
2855,Product B,Brand Z,Furniture,1.5,18,43,0.15,Small,8.65
1044,Product C,Brand X,Groceries,4.6,558,91,0.27,Medium,0.24
9527,Product A,Brand Z,Clothing,4.9,718,29,0.06,Small,5.73
9912,Product D,Brand X,Groceries,4.3,824,5,0.21,Small,5.37
10139,Product E,Brand Z,Electronics,2.2,466,88,0.02,Large,4.58
3249,Product B,Brand Y,Electronics,4.7,336,24,0.07,Medium,2.4
10291,Product A,Brand Z,Furniture,2.2,511,100,0.25,Large,3.78
10323,Product E,Brand X,Furniture,3.5,439,97,0.22,Large,8.19
10363,Product D,Brand Z,Toys,4.7,417,83,0.26,Medium,5.38
8280,Product D,Brand X,Electronics,3.2,133,48,0.34,Large,2.86
8037,Product B,Brand X,Furniture,3.1,913,43,0.39,Medium,0.99
83,Product D,Brand Y,Clothing,5,768,1,0.03,Large,3.73
108,Product B,Brand Z,Toys,1.5,130,88,0.05,Medium,9.73
9947,Product A,Brand Z,Furniture,1.4,502,79,0.07,Small,7.76
9964,Product D,Brand Y,Toys,1.4,626,1,0.39,Large,5.3
5786,Product A,Brand Y,Electronics,3.7,34,49,0.11,Small,3.07
10143,Product B,Brand Y,Furniture,3.6,449,99,0.21,Large,6.73
10348,Product B,Brand X,Clothing,1.6,999,39,0.44,Large,0.21
10421,Product B,Brand Z,Groceries,4.2,768,94,0.33,Medium,4.37
10199,Product B,Brand Z,Furniture,2.5,714,90,0.1,Large,0.74
414,Product C,Brand Z,Toys,3,32,66,0.43,Medium,0.88
5123,Product D,Brand Y,Groceries,1.4,572,15,0.22,Medium,6.06
3330,Product B,Brand X,Groceries,2.5,68,18,0.39,Large,8.08
8727,Product B,Brand Z,Groceries,4.4,740,82,0.12,Medium,9.56
8731,Product D,Brand Z,Electronics,3.4,331,71,0.45,Large,5.26
7514,Product D,Brand Y,Groceries,2.9,743,37,0.27,Medium,0.46
10141,Product B,Brand Z,Furniture,4.5,282,50,0.25,Large,3.85
946,Product C,Brand Z,Clothing,3.7,218,21,0.21,Small,8.27
82,Product C,Brand Y,Electronics,2.9,305,98,0.26,Small,6.98
9960,Product B,Brand Z,Clothing,2.8,906,79,0.07,Small,9.24
9988,Product D,Brand Z,Toys,1,820,1,0.35,Large,8.44
10076,Product C,Brand X,Clothing,3.1,17,86,0.16,Large,6.45
10120,Product D,Brand Y,Electronics,4.1,263,96,0.04,Large,1.16
9622,Product C,Brand Y,Electronics,3.6,536,12,0.11,Large,9
667,Product A,Brand Z,Toys,1.3,189,78,0.33,Large,4.3
4651,Product C,Brand X,Electronics,2,368,94,0.19,Large,7.37
10082,Product B,Brand X,Toys,4.2,811,68,0.25,Large,4.48
10174,Product D,Brand X,Toys,3.9,444,41,0.08,Medium,3.41
10212,Product A,Brand Z,Furniture,3.5,737,89,0.48,Medium,6.43
4092,Product C,Brand Z,Groceries,1.2,900,67,0.47,Small,7.35
9958,Product E,Brand X,Toys,2.4,317,16,0.27,Medium,7.88
8447,Product A,Brand Z,Toys,1.4,110,119,0.09,Large,4.37
10108,Product E,Brand X,Clothing,3.4,353,2,0.15,Small,3.82
10159,Product C,Brand Z,Toys,1.2,723,72,0.17,Small,9.91
10235,Product E,Brand Z,Furniture,4.6,195,77,0.47,Small,8.07
10252,Product B,Brand Z,Furniture,2.7,212,5,0.17,Medium,4.36
9779,Product A,Brand Y,Clothing,4.4,314,83,0.28,Medium,4.29
9929,Product E,Brand Y,Groceries,3.8,559,59,0.47,Medium,7.74
9939,Product E,Brand X,Furniture,1.5,407,77,0.13,Small,9.09
10052,Product D,Brand Y,Clothing,4.4,317,7,0.13,Large,3.55
10110,Product B,Brand X,Electronics,3.4,373,98,0.18,Small,8.34
10344,Product E,Brand X,Groceries,3.2,645,67,0.43,Large,8.73
9399,Product D,Brand X,Toys,2,145,26,0.43,Medium,9.23
10105,Product E,Brand Y,Groceries,3.8,306,100,0.44,Large,4.62
3034,Product D,Brand Z,Electronics,3.4,189,92,0.2,Small,8.27
10176,Product C,Brand Y,Groceries,4.1,538,29,0.01,Large,7.06
10296,Product D,Brand Y,Groceries,2,541,74,0.4,Small,8.41
3603,Product D,Brand Y,Toys,4,37,12,0.22,Medium,7.22
9982,Product A,Brand Y,Furniture,2,391,66,0.27,Small,7.28
10000,Product E,Brand Y,Furniture,2.4,644,34,0.4,Large,3.54
3937,Product C,Brand X,Groceries,4.9,734,53,0.48,Small,2.14
5450,Product A,Brand Z,Clothing,4.3,248,31,0.49,Small,2.97
1523,Product D,Brand Y,Clothing,2.7,130,73,0.36,Medium,7.22
2161,Product C,Brand Z,Clothing,2,831,56,0.09,Large,8.77
9935,Product B,Brand X,Clothing,3.3,288,18,0.47,Large,2.19
9889,Product A,Brand Z,Electronics,1.9,215,41,0.36,Medium,3.52
10151,Product D,Brand Z,Groceries,2.5,511,72,0.34,Small,4.76
10271,Product A,Brand Z,Electronics,1.6,628,95,0.24,Medium,8.4
3647,Product B,Brand Z,Electronics,1.1,934,52,0.22,Medium,7.1
9921,Product C,Brand X,Furniture,2.4,739,79,0.45,Medium,0.61
10386,Product A,Brand Y,Clothing,4.1,605,21,0.27,Large,3.66
3872,Product D,Brand Y,Clothing,3.1,163,84,0.39,Small,5.78
10020,Product E,Brand X,Toys,3.9,953,66,0.05,Small,9.21
10259,Product D,Brand X,Groceries,2.6,607,9,0.47,Medium,8.13
10282,Product A,Brand Y,Groceries,4.8,996,90,0.18,Large,7.78
10317,Product A,Brand Z,Clothing,3.2,292,18,0.41,Large,2.75
6645,Product A,Brand Z,Toys,2.2,384,28,0.02,Medium,1.02
10106,Product D,Brand Y,Groceries,4.5,129,17,0.02,Large,4.19
10253,Product D,Brand Z,Groceries,3.8,16,52,0.43,Medium,9.57
10413,Product E,Brand Y,Clothing,1.5,529,82,0.23,Large,4.16
7151,Product A,Brand Y,Groceries,1,673,14,0.43,Medium,0.32
422,Product B,Brand Y,Groceries,3,556,67,0.34,Medium,8.7
3909,Product D,Brand Y,Clothing,1.8,894,96,0.01,Medium,0.17
1468,Product D,Brand X,Groceries,4.9,947,19,0.07,Medium,4.1
5134,Product B,Brand Z,Toys,3.1,165,3,0.4,Small,4.55
10146,Product C,Brand Y,Furniture,4.7,682,37,0.37,Large,5.2
10393,Product E,Brand Y,Clothing,3.6,669,9,0.42,Medium,4.75
735,Product D,Brand X,Furniture,3.6,177,32,0.45,Large,0.41
10050,Product D,Brand X,Furniture,1.9,162,44,0.36,Small,6.56
10132,Product C,Brand Y,Toys,2.8,355,70,0.03,Medium,4.17
5454,Product B,Brand X,Furniture,4.7,981,30,0.49,Small,7.66
9903,Product E,Brand X,Toys,3.8,63,55,0.5,Large,0.99
3340,Product D,Brand X,Groceries,4.5,31,48,0.35,Medium,4.81
6049,Product A,Brand Y,Clothing,5,839,84,0.22,Large,5.51
6265,Product A,Brand X,Furniture,3,286,67,0.46,Medium,8.54
10079,Product D,Brand Z,Groceries,2.8,538,38,0.36,Small,2.85
10307,Product B,Brand Z,Clothing,1.2,783,3,0.43,Small,7.18
4766,Product A,Brand Y,Furniture,4.3,73,22,0.33,Small,4.38
10326,Product B,Brand X,Furniture,4.2,664,95,0.2,Medium,3.83
10382,Product E,Brand X,Toys,5,919,20,0.16,Small,5.61
9919,Product B,Brand Z,Electronics,3.1,159,45,0.11,Large,8.02
10095,Product B,Brand Y,Electronics,4.1,722,70,0.37,Large,1.42
5052,Product D,Brand X,Groceries,1.9,103,87,0.33,Medium,3.8
674,Product A,Brand Z,Electronics,4.5,474,73,0.27,Medium,3.23
10068,Product B,Brand X,Clothing,1.8,915,80,0.21,Medium,4.2
9549,Product A,Brand Y,Furniture,1.5,674,32,0.28,Small,2.89
9934,Product D,Brand Y,Electronics,2.7,79,73,0.17,Medium,8.05
9956,Product D,Brand X,Electronics,4.3,950,98,0.45,Medium,2.92
258,Product A,Brand Z,Toys,3.2,205,95,0.03,Medium,2.13
9933,Product D,Brand Z,Clothing,4.7,621,43,0.3,Small,3.11
10053,Product B,Brand X,Furniture,3,677,97,0.34,Small,8.69
10380,Product D,Brand Y,Electronics,1.3,974,57,0.18,Medium,6.8
10388,Product E,Brand Z,Electronics,1.6,566,83,0.18,Small,5.26
4089,Product B,Brand Y,Furniture,1.8,702,34,0.46,Medium,9.52
3174,Product A,Brand Z,Electronics,3.3,259,86,0.01,Medium,1.23
1885,Product C,Brand X,Toys,4.9,503,21,0.18,Large,8.55
9957,Product C,Brand X,Clothing,3.4,181,17,0.29,Large,5.94
10245,Product B,Brand Z,Electronics,3.2,49,71,0.34,Small,3.77
10392,Product E,Brand X,Electronics,1.6,481,72,0.23,Large,6.9
10414,Product D,Brand Y,Furniture,2.4,64,6,0.14,Large,8.85
881,Product B,Brand Y,Electronics,2.5,15,41,0.41,Small,0.51
6159,Product D,Brand X,Electronics,2.4,516,40,0.46,Large,2.93
9927,Product C,Brand Y,Groceries,3.3,188,92,0.11,Small,8.91
10134,Product D,Brand X,Toys,2.2,805,14,0.2,Small,1.01
460,Product C,Brand Z,Electronics,2,65,75,0.4,Medium,2.25
188,Product B,Brand Y,Toys,1.2,79,23,0.36,Medium,8.75
2194,Product B,Brand X,Groceries,1.9,368,57,0.18,Large,6.7
10188,Product C,Brand X,Clothing,2.4,898,100,0.04,Small,1.66
10295,Product B,Brand Y,Toys,2.8,696,15,0.19,Medium,4.71
8642,Product B,Brand Y,Groceries,2.4,868,60,0.26,Medium,0.58
5138,Product A,Brand Z,Clothing,3.6,160,70,0.07,Large,2.1
1162,Product B,Brand X,Toys,1.1,117,17,0.43,Medium,0.51
5843,Product C,Brand Z,Clothing,1.4,2,7,0.33,Medium,3.54
9965,Product C,Brand Z,Clothing,2.8,730,45,0.45,Medium,0.62
642,Product A,Brand Z,Electronics,1.9,429,48,0.09,Small,4.31
5559,Product A,Brand Z,Groceries,3.4,664,13,0.47,Medium,1.63
10013,Product C,Brand X,Electronics,1.7,731,34,0.41,Large,1.25
4736,Product D,Brand Z,Clothing,1.3,877,96,0.03,Small,1.45
8494,Product D,Brand Y,Furniture,2,779,68,0.13,Medium,3.89
3940,Product C,Brand X,Electronics,4.1,897,25,0.37,Large,8.83
3498,Product B,Brand Z,Groceries,4.1,928,3,0.5,Large,0.63
4356,Product C,Brand X,Clothing,4.5,858,91,0.22,Medium,2.78
8854,Product B,Brand Y,Toys,1.8,775,50,0,Medium,5.25
7096,Product C,Brand X,Toys,2.9,668,86,0.12,Medium,9.64
9972,Product D,Brand Y,Toys,2.3,623,35,0.42,Large,9.65
9978,Product A,Brand Z,Electronics,4.8,893,82,0.3,Small,9.29
10283,Product A,Brand X,Furniture,2.8,867,68,0.02,Small,7.27
3311,Product A,Brand X,Electronics,4.1,884,80,0.47,Medium,7.43
8955,Product A,Brand X,Groceries,4.3,977,4,0.1,Small,2.57
4771,Product B,Brand Z,Clothing,3.4,565,25,0.45,Medium,9.32
2861,Product D,Brand Y,Groceries,2,977,64,0.33,Large,9.27
9897,Product C,Brand X,Toys,2.6,15,30,0.07,Small,4.36
9926,Product A,Brand Y,Clothing,3,847,63,0.22,Large,3.71
10125,Product D,Brand Y,Electronics,2.6,191,44,0.48,Large,3.17
10138,Product B,Brand Y,Groceries,3.5,875,40,0.44,Large,6.07
10257,Product A,Brand X,Toys,1.4,59,80,0.23,Small,5.68
10313,Product C,Brand X,Furniture,4,957,37,0.21,Small,2.6
9134,Product B,Brand Y,Electronics,4.6,314,68,0.45,Medium,2.46
3114,Product A,Brand Y,Groceries,2.3,144,11,0.01,Medium,4.89
6146,Product A,Brand X,Electronics,3,870,2,0.35,Small,4.59
10225,Product B,Brand Y,Clothing,4.7,176,20,0.3,Large,1.14
4063,Product D,Brand Y,Furniture,1.9,820,68,0.03,Small,0.29
9997,Product A,Brand Y,Furniture,3.4,279,27,0.37,Small,4.93
10298,Product C,Brand Y,Clothing,2.6,250,1,0.23,Large,8.11
10423,Product E,Brand X,Electronics,4.2,816,72,0.17,Large,7.86
7302,Product D,Brand X,Electronics,4.7,309,80,0.1,Medium,1.01
1910,Product B,Brand X,Groceries,1.3,82,71,0.49,Small,9.71
2833,Product D,Brand X,Toys,1.6,583,73,0.31,Large,0.43
10202,Product D,Brand Z,Groceries,1.2,897,13,0.07,Medium,6.14
10362,Product D,Brand Z,Furniture,4.6,313,31,0.27,Medium,5.46
7704,Product C,Brand Z,Clothing,4.7,595,99,0.06,Small,6.88
2355,Product D,Brand Y,Clothing,1.4,632,26,0.49,Medium,1.02
1506,Product B,Brand Z,Furniture,2.6,657,63,0.1,Small,6.13
7466,Product D,Brand X,Clothing,2.2,756,59,0.04,Medium,9.29
6156,Product A,Brand Z,Furniture,1.3,491,87,0.25,Large,6.97
2653,Product A,Brand Y,Furniture,3.8,914,66,0.33,Small,4.71
10102,Product A,Brand Z,Groceries,1.9,202,92,0.38,Medium,3.89
10354,Product C,Brand Z,Clothing,2,461,94,0.43,Medium,3.71
4672,Product A,Brand Y,Furniture,3.6,191,90,0.27,Large,1.66
3786,Product C,Brand Z,Toys,4.1,423,93,0.26,Small,8.3
10044,Product A,Brand Y,Groceries,4.6,724,46,0.05,Small,4.95
10109,Product B,Brand X,Furniture,2.7,711,63,0.09,Small,8.95
856,Product A,Brand Z,Furniture,3.1,287,81,0.12,Medium,3.57
9950,Product C,Brand X,Groceries,1.5,783,47,0.33,Large,2.23
9979,Product C,Brand Y,Electronics,3.1,528,2,0.34,Medium,6
10155,Product D,Brand Y,Furniture,4.7,933,28,0.16,Medium,0.59
