date_sk,full_date,year,quarter,month,month_name,week_of_year,day,day_of_week,day_name
20200109,2020-01-09,2020,1,1,January,2,9,5,Thursday
20231209,2023-12-09,2023,4,12,December,49,9,7,Saturday
20201017,2020-10-17,2020,4,10,October,42,17,7,Saturday
20230730,2023-07-30,2023,3,7,July,30,30,1,Sunday
20201119,2020-11-19,2020,4,11,November,47,19,5,Thursday
20230809,2023-08-09,2023,3,8,August,32,9,4,Wednesday
20230912,2023-09-12,2023,3,9,September,37,12,3,Tuesday
20220811,2022-08-11,2022,3,8,August,32,11,5,Thursday
20230216,2023-02-16,2023,1,2,February,7,16,5,Thursday
20230318,2023-03-18,2023,1,3,March,11,18,7,Saturday
20230120,2023-01-20,2023,1,1,January,3,20,6,Friday
20230702,2023-07-02,2023,3,7,July,26,2,1,Sunday
20220415,2022-04-15,2022,2,4,April,15,15,6,Friday
20220820,2022-08-20,2022,3,8,August,33,20,7,Saturday
20220702,2022-07-02,2022,3,7,July,26,2,7,Saturday
20221226,2022-12-26,2022,4,12,December,52,26,2,Monday
20221110,2022-11-10,2022,4,11,November,45,10,5,Thursday
20220705,2022-07-05,2022,3,7,July,27,5,3,Tuesday
20220307,2022-03-07,2022,1,3,March,10,7,2,Monday
20220127,2022-01-27,2022,1,1,January,4,27,5,Thursday
20220912,2022-09-12,2022,3,9,September,37,12,2,Monday
20230916,2023-09-16,2023,3,9,September,37,16,7,Saturday
20210303,2021-03-03,2021,1,3,March,9,3,4,Wednesday
20220430,2022-04-30,2022,2,4,April,17,30,7,Saturday
20221130,2022-11-30,2022,4,11,November,48,30,4,Wednesday
20200723,2020-07-23,2020,3,7,July,30,23,5,Thursday
20210507,2021-05-07,2021,2,5,May,18,7,6,Friday
20211216,2021-12-16,2021,4,12,December,50,16,5,Thursday
20230820,2023-08-20,2023,3,8,August,33,20,1,Sunday
20221114,2022-11-14,2022,4,11,November,46,14,2,Monday
20200708,2020-07-08,2020,3,7,July,28,8,4,Wednesday
20200427,2020-04-27,2020,2,4,April,18,27,2,Monday
20200909,2020-09-09,2020,3,9,September,37,9,4,Wednesday
20220806,2022-08-06,2022,3,8,August,31,6,7,Saturday
20220308,2022-03-08,2022,1,3,March,10,8,3,Tuesday
20220130,2022-01-30,2022,1,1,January,4,30,1,Sunday
20230419,2023-04-19,2023,2,4,April,16,19,4,Wednesday
20220603,2022-06-03,2022,2,6,June,22,3,6,Friday
20200506,2020-05-06,2020,2,5,May,19,6,4,Wednesday
20210803,2021-08-03,2021,3,8,August,31,3,3,Tuesday
20220526,2022-05-26,2022,2,5,May,21,26,5,Thursday
20210308,2021-03-08,2021,1,3,March,10,8,2,Monday
20200917,2020-09-17,2020,3,9,September,38,17,5,Thursday
20211124,2021-11-24,2021,4,11,November,47,24,4,Wednesday
20210730,2021-07-30,2021,3,7,July,30,30,6,Friday
20200611,2020-06-11,2020,2,6,June,24,11,5,Thursday
20210726,2021-07-26,2021,3,7,July,30,26,2,Monday
20220212,2022-02-12,2022,1,2,February,6,12,7,Saturday
20220128,2022-01-28,2022,1,1,January,4,28,6,Friday
20230903,2023-09-03,2023,3,9,September,35,3,1,Sunday
20200921,2020-09-21,2020,3,9,September,39,21,2,Monday
20210914,2021-09-14,2021,3,9,September,37,14,3,Tuesday
20221004,2022-10-04,2022,4,10,October,40,4,3,Tuesday
20221011,2022-10-11,2022,4,10,October,41,11,3,Tuesday
20221221,2022-12-21,2022,4,12,December,51,21,4,Wednesday
20200226,2020-02-26,2020,1,2,February,9,26,4,Wednesday
20230415,2023-04-15,2023,2,4,April,15,15,7,Saturday
20200221,2020-02-21,2020,1,2,February,8,21,6,Friday
20230924,2023-09-24,2023,3,9,September,38,24,1,Sunday
20230716,2023-07-16,2023,3,7,July,28,16,1,Sunday
20200701,2020-07-01,2020,3,7,July,27,1,4,Wednesday
20230113,2023-01-13,2023,1,1,January,2,13,6,Friday
20230430,2023-04-30,2023,2,4,April,17,30,1,Sunday
20220916,2022-09-16,2022,3,9,September,37,16,6,Friday
20230806,2023-08-06,2023,3,8,August,31,6,1,Sunday
20230625,2023-06-25,2023,2,6,June,25,25,1,Sunday
20220819,2022-08-19,2022,3,8,August,33,19,6,Friday
20200710,2020-07-10,2020,3,7,July,28,10,6,Friday
20200326,2020-03-26,2020,1,3,March,13,26,5,Thursday
20220625,2022-06-25,2022,2,6,June,25,25,7,Saturday
20230409,2023-04-09,2023,2,4,April,14,9,1,Sunday
20220725,2022-07-25,2022,3,7,July,30,25,2,Monday
20230722,2023-07-22,2023,3,7,July,29,22,7,Saturday
20231217,2023-12-17,2023,4,12,December,50,17,1,Sunday
20231019,2023-10-19,2023,4,10,October,42,19,5,Thursday
20230929,2023-09-29,2023,3,9,September,39,29,6,Friday
20220729,2022-07-29,2022,3,7,July,30,29,6,Friday
20221119,2022-11-19,2022,4,11,November,46,19,7,Saturday
20231106,2023-11-06,2023,4,11,November,45,6,2,Monday
20230928,2023-09-28,2023,3,9,September,39,28,5,Thursday
20230102,2023-01-02,2023,1,1,January,1,2,2,Monday
20230709,2023-07-09,2023,3,7,July,27,9,1,Sunday
20221112,2022-11-12,2022,4,11,November,45,12,7,Saturday
20230811,2023-08-11,2023,3,8,August,32,11,6,Friday
20220622,2022-06-22,2022,2,6,June,25,22,4,Wednesday
20221012,2022-10-12,2022,4,10,October,41,12,4,Wednesday
20230311,2023-03-11,2023,1,3,March,10,11,7,Saturday
20231118,2023-11-18,2023,4,11,November,46,18,7,Saturday
20220828,2022-08-28,2022,3,8,August,34,28,1,Sunday
20201115,2020-11-15,2020,4,11,November,46,15,1,Sunday
20230712,2023-07-12,2023,3,7,July,28,12,4,Wednesday
20200711,2020-07-11,2020,3,7,July,28,11,7,Saturday
20201222,2020-12-22,2020,4,12,December,52,22,3,Tuesday
20210331,2021-03-31,2021,1,3,March,13,31,4,Wednesday
20211019,2021-10-19,2021,4,10,October,42,19,3,Tuesday
20210406,2021-04-06,2021,2,4,April,14,6,3,Tuesday
20230514,2023-05-14,2023,2,5,May,19,14,1,Sunday
20230420,2023-04-20,2023,2,4,April,16,20,5,Thursday
20211106,2021-11-06,2021,4,11,November,44,6,7,Saturday
20210203,2021-02-03,2021,1,2,February,5,3,4,Wednesday
20220627,2022-06-27,2022,2,6,June,26,27,2,Monday
20210401,2021-04-01,2021,2,4,April,13,1,5,Thursday
20220818,2022-08-18,2022,3,8,August,33,18,5,Thursday
20220218,2022-02-18,2022,1,2,February,7,18,6,Friday
20210617,2021-06-17,2021,2,6,June,24,17,5,Thursday
20221102,2022-11-02,2022,4,11,November,44,2,4,Wednesday
20201218,2020-12-18,2020,4,12,December,51,18,6,Friday
20220905,2022-09-05,2022,3,9,September,36,5,2,Monday
20220518,2022-05-18,2022,2,5,May,20,18,4,Wednesday
20210817,2021-08-17,2021,3,8,August,33,17,3,Tuesday
20230208,2023-02-08,2023,1,2,February,6,8,4,Wednesday
20200527,2020-05-27,2020,2,5,May,22,27,4,Wednesday
20200510,2020-05-10,2020,2,5,May,19,10,1,Sunday
20230417,2023-04-17,2023,2,4,April,16,17,2,Monday
20230509,2023-05-09,2023,2,5,May,19,9,3,Tuesday
20220106,2022-01-06,2022,1,1,January,1,6,5,Thursday
20210201,2021-02-01,2021,1,2,February,5,1,2,Monday
20210218,2021-02-18,2021,1,2,February,7,18,5,Thursday
20200508,2020-05-08,2020,2,5,May,19,8,6,Friday
20200619,2020-06-19,2020,2,6,June,25,19,6,Friday
20230826,2023-08-26,2023,3,8,August,34,26,7,Saturday
20211105,2021-11-05,2021,4,11,November,44,5,6,Friday
20200924,2020-09-24,2020,3,9,September,39,24,5,Thursday
20200802,2020-08-02,2020,3,8,August,31,2,1,Sunday
20230925,2023-09-25,2023,3,9,September,39,25,2,Monday
20210213,2021-02-13,2021,1,2,February,6,13,7,Saturday
20200407,2020-04-07,2020,2,4,April,15,7,3,Tuesday
20200528,2020-05-28,2020,2,5,May,22,28,5,Thursday
20220920,2022-09-20,2022,3,9,September,38,20,3,Tuesday
20200116,2020-01-16,2020,1,1,January,3,16,5,Thursday
20210509,2021-05-09,2021,2,5,May,18,9,1,Sunday
20231014,2023-10-14,2023,4,10,October,41,14,7,Saturday
20210304,2021-03-04,2021,1,3,March,9,4,5,Thursday
20231017,2023-10-17,2023,4,10,October,42,17,3,Tuesday
20230620,2023-06-20,2023,2,6,June,25,20,3,Tuesday
20211225,2021-12-25,2021,4,12,December,51,25,7,Saturday
20230908,2023-09-08,2023,3,9,September,36,8,6,Friday
20221223,2022-12-23,2022,4,12,December,51,23,6,Friday
20210416,2021-04-16,2021,2,4,April,15,16,6,Friday
20200721,2020-07-21,2020,3,7,July,30,21,3,Tuesday
20220429,2022-04-29,2022,2,4,April,17,29,6,Friday
20210807,2021-08-07,2021,3,8,August,31,7,7,Saturday
20200628,2020-06-28,2020,2,6,June,26,28,1,Sunday
20210316,2021-03-16,2021,1,3,March,11,16,3,Tuesday
20230305,2023-03-05,2023,1,3,March,9,5,1,Sunday
20200208,2020-02-08,2020,1,2,February,6,8,7,Saturday
20220722,2022-07-22,2022,3,7,July,29,22,6,Friday
20230228,2023-02-28,2023,1,2,February,9,28,3,Tuesday
20230515,2023-05-15,2023,2,5,May,20,15,2,Monday
20231112,2023-11-12,2023,4,11,November,45,12,1,Sunday
20220102,2022-01-02,2022,1,1,January,52,2,1,Sunday
20230704,2023-07-04,2023,3,7,July,27,4,3,Tuesday
20230825,2023-08-25,2023,3,8,August,34,25,6,Friday
20220911,2022-09-11,2022,3,9,September,36,11,1,Sunday
20231214,2023-12-14,2023,4,12,December,50,14,5,Thursday
20220112,2022-01-12,2022,1,1,January,2,12,4,Wednesday
20230513,2023-05-13,2023,2,5,May,19,13,7,Saturday
20231216,2023-12-16,2023,4,12,December,50,16,7,Saturday
20221120,2022-11-20,2022,4,11,November,46,20,1,Sunday
20220313,2022-03-13,2022,1,3,March,10,13,1,Sunday
20220626,2022-06-26,2022,2,6,June,25,26,1,Sunday
20230910,2023-09-10,2023,3,9,September,36,10,1,Sunday
20221121,2022-11-21,2022,4,11,November,47,21,2,Monday
20230701,2023-07-01,2023,3,7,July,26,1,7,Saturday
20230605,2023-06-05,2023,2,6,June,23,5,2,Monday
20231203,2023-12-03,2023,4,12,December,48,3,1,Sunday
20220223,2022-02-23,2022,1,2,February,8,23,4,Wednesday
20221103,2022-11-03,2022,4,11,November,44,3,5,Thursday
20220217,2022-02-17,2022,1,2,February,7,17,5,Thursday
20221029,2022-10-29,2022,4,10,October,43,29,7,Saturday
20210801,2021-08-01,2021,3,8,August,30,1,1,Sunday
20200919,2020-09-19,2020,3,9,September,38,19,7,Saturday
20200304,2020-03-04,2020,1,3,March,10,4,4,Wednesday
20200812,2020-08-12,2020,3,8,August,33,12,4,Wednesday
20200522,2020-05-22,2020,2,5,May,21,22,6,Friday
20231124,2023-11-24,2023,4,11,November,47,24,6,Friday
20210722,2021-07-22,2021,3,7,July,29,22,5,Thursday
20200514,2020-05-14,2020,2,5,May,20,14,5,Thursday
20210925,2021-09-25,2021,3,9,September,38,25,7,Saturday
20200831,2020-08-31,2020,3,8,August,36,31,2,Monday
20230705,2023-07-05,2023,3,7,July,27,5,4,Wednesday
20210908,2021-09-08,2021,3,9,September,36,8,4,Wednesday
20230425,2023-04-25,2023,2,4,April,17,25,3,Tuesday
20230602,2023-06-02,2023,2,6,June,22,2,6,Friday
20200111,2020-01-11,2020,1,1,January,2,11,7,Saturday
20230210,2023-02-10,2023,1,2,February,6,10,6,Friday
20201031,2020-10-31,2020,4,10,October,44,31,7,Saturday
20220623,2022-06-23,2022,2,6,June,25,23,5,Thursday
20220928,2022-09-28,2022,3,9,September,39,28,4,Wednesday
20220621,2022-06-21,2022,2,6,June,25,21,3,Tuesday
20220330,2022-03-30,2022,1,3,March,13,30,4,Wednesday
20201221,2020-12-21,2020,4,12,December,52,21,2,Monday
20230315,2023-03-15,2023,1,3,March,11,15,4,Wednesday
20200816,2020-08-16,2020,3,8,August,33,16,1,Sunday
20200806,2020-08-06,2020,3,8,August,32,6,5,Thursday
20220910,2022-09-10,2022,3,9,September,36,10,7,Saturday
20230126,2023-01-26,2023,1,1,January,4,26,5,Thursday
20221101,2022-11-01,2022,4,11,November,44,1,3,Tuesday
20210329,2021-03-29,2021,1,3,March,13,29,2,Monday
20210626,2021-06-26,2021,2,6,June,25,26,7,Saturday
20231005,2023-10-05,2023,4,10,October,40,5,5,Thursday
20220602,2022-06-02,2022,2,6,June,22,2,5,Thursday
20210425,2021-04-25,2021,2,4,April,16,25,1,Sunday
20200323,2020-03-23,2020,1,3,March,13,23,2,Monday
20210902,2021-09-02,2021,3,9,September,35,2,5,Thursday
20221125,2022-11-25,2022,4,11,November,47,25,6,Friday
20200424,2020-04-24,2020,2,4,April,17,24,6,Friday
20220409,2022-04-09,2022,2,4,April,14,9,7,Saturday
20200213,2020-02-13,2020,1,2,February,7,13,5,Thursday
20230528,2023-05-28,2023,2,5,May,21,28,1,Sunday
20231102,2023-11-02,2023,4,11,November,44,2,5,Thursday
20200402,2020-04-02,2020,2,4,April,14,2,5,Thursday
20221016,2022-10-16,2022,4,10,October,41,16,1,Sunday
20210421,2021-04-21,2021,2,4,April,16,21,4,Wednesday
20220721,2022-07-21,2022,3,7,July,29,21,5,Thursday
20200914,2020-09-14,2020,3,9,September,38,14,2,Monday
20201201,2020-12-01,2020,4,12,December,49,1,3,Tuesday
20231025,2023-10-25,2023,4,10,October,43,25,4,Wednesday
20221007,2022-10-07,2022,4,10,October,40,7,6,Friday
20230904,2023-09-04,2023,3,9,September,36,4,2,Monday
20220503,2022-05-03,2022,2,5,May,18,3,3,Tuesday
20230816,2023-08-16,2023,3,8,August,33,16,4,Wednesday
20230830,2023-08-30,2023,3,8,August,35,30,4,Wednesday
20230103,2023-01-03,2023,1,1,January,1,3,3,Tuesday
20231020,2023-10-20,2023,4,10,October,42,20,6,Friday
20220530,2022-05-30,2022,2,5,May,22,30,2,Monday
20230724,2023-07-24,2023,3,7,July,30,24,2,Monday
20221205,2022-12-05,2022,4,12,December,49,5,2,Monday
20230130,2023-01-30,2023,1,1,January,5,30,2,Monday
20231129,2023-11-29,2023,4,11,November,48,29,4,Wednesday
20220804,2022-08-04,2022,3,8,August,31,4,5,Thursday
20200715,2020-07-15,2020,3,7,July,29,15,4,Wednesday
20221027,2022-10-27,2022,4,10,October,43,27,5,Thursday
20201011,2020-10-11,2020,4,10,October,41,11,1,Sunday
20200308,2020-03-08,2020,1,3,March,10,8,1,Sunday
20200415,2020-04-15,2020,2,4,April,16,15,4,Wednesday
20201028,2020-10-28,2020,4,10,October,44,28,4,Wednesday
20230708,2023-07-08,2023,3,7,July,27,8,7,Saturday
20220210,2022-02-10,2022,1,2,February,6,10,5,Thursday
20200820,2020-08-20,2020,3,8,August,34,20,5,Thursday
20230720,2023-07-20,2023,3,7,July,29,20,5,Thursday
20201016,2020-10-16,2020,4,10,October,42,16,6,Friday
20210227,2021-02-27,2021,1,2,February,8,27,7,Saturday
20220315,2022-03-15,2022,1,3,March,11,15,3,Tuesday
20231208,2023-12-08,2023,4,12,December,49,8,6,Friday
20230911,2023-09-11,2023,3,9,September,37,11,2,Monday
20230206,2023-02-06,2023,1,2,February,6,6,2,Monday
20230527,2023-05-27,2023,2,5,May,21,27,7,Saturday
20220502,2022-05-02,2022,2,5,May,18,2,2,Monday
20231002,2023-10-02,2023,4,10,October,40,2,2,Monday
20230408,2023-04-08,2023,2,4,April,14,8,7,Saturday
20220517,2022-05-17,2022,2,5,May,20,17,3,Tuesday
20211117,2021-11-17,2021,4,11,November,46,17,4,Wednesday
20230822,2023-08-22,2023,3,8,August,34,22,3,Tuesday
20200114,2020-01-14,2020,1,1,January,3,14,3,Tuesday
20211013,2021-10-13,2021,4,10,October,41,13,4,Wednesday
20210608,2021-06-08,2021,2,6,June,23,8,3,Tuesday
20211210,2021-12-10,2021,4,12,December,49,10,6,Friday
20220226,2022-02-26,2022,1,2,February,8,26,7,Saturday
20230718,2023-07-18,2023,3,7,July,29,18,3,Tuesday
20220403,2022-04-03,2022,2,4,April,13,3,1,Sunday
20220305,2022-03-05,2022,1,3,March,9,5,7,Saturday
20220829,2022-08-29,2022,3,8,August,35,29,2,Monday
20221209,2022-12-09,2022,4,12,December,49,9,6,Friday
20221117,2022-11-17,2022,4,11,November,46,17,5,Thursday
20230516,2023-05-16,2023,2,5,May,20,16,3,Tuesday
20230703,2023-07-03,2023,3,7,July,27,3,2,Monday
20220914,2022-09-14,2022,3,9,September,37,14,4,Wednesday
20230312,2023-03-12,2023,1,3,March,10,12,1,Sunday
20230906,2023-09-06,2023,3,9,September,36,6,4,Wednesday
20230401,2023-04-01,2023,2,4,April,13,1,7,Saturday
20220926,2022-09-26,2022,3,9,September,39,26,2,Monday
20210824,2021-08-24,2021,3,8,August,34,24,3,Tuesday
20220831,2022-08-31,2022,3,8,August,35,31,4,Wednesday
